@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
6,13.038404,47.455242,-16,-1160,41.477268,-57.477268,-0.27021,1253376,4896,5.769083,11.730041,42.192047,-13.580059,-949.767517,37.838928,-51.418987,-0.292565,734626.9375,3983.488037,4.973616,5.620071,19.767296,-2.777879,-277.369263,22.245712,-25.023592,-0.450609,8620.948242,1117.193604,0.795468,4.867578,2.331724,10.016492,-7.971615,-29.599421,5.552125,-13.52374,-0.389097,11561.951172,181.944321,0.901506,0.106038,4.507444,0.591884,1.668418,-1.893179,0.389374,0.060046,-1.953225,0.104378,7.2637,2.02663,1.26164,0.466172,0.360134,4.562418,0.414707,0.288787,0.386154,0.032857,0.287121,0.099033,0.014293,0.002638,0.017689,1.206665,0.411197,0.305159,-0.054975,4.492982,4.944445,3.944444,44.929825,0.363412,4.569445,'class 1'
6,6,31.796227,-26,-180,13.419689,-39.419689,-0.135473,943696,1396,5.915968,4.651621,31.321667,-27.20698,-135.065094,11.699475,-38.906456,-0.153685,947836.6875,1280.480103,5.4299,2.552173,26.930761,-27.813566,6.061543,5.449718,-33.263283,-0.227587,579691.6875,749.348267,0.486069,5.031009,2.122071,14.278852,-16.013214,25.111197,0.824539,-16.837753,-0.123067,39996.421875,155.978271,0.88496,0.398891,4.544005,0.41499,1.562619,-1.386517,-0.511995,0.715715,-2.102231,0.396901,7.632827,3.970409,1.371964,0.885895,0.487004,4.61282,0.427198,0.267874,0.33129,0.018965,0.295827,0.035463,0.04474,0.00372,0.033895,1.303148,0.81708,0.418189,-0.068815,4.477924,4.68421,4.052631,44.77924,0.205801,4.540205,'class 1'
5,8.944272,55.812183,-46,-504,22.453272,-68.45327,0.046738,8743312,4132,5.19215,7.696238,53.238522,-44.629593,-427.671143,20.711271,-65.340866,0.05894,7374612,3702.485107,5.767878,3.487042,38.045452,-35.70705,-99.392128,11.064999,-46.772049,0.126803,2132505.5,1672.562012,-0.575728,5.299656,1.838146,18.439087,-21.412319,58.100529,-0.074007,-21.338312,0.101255,103657.28125,226.085342,-0.107507,0.468221,4.591007,0.316665,2.101979,-2.805896,1.67608,-0.638509,-2.167387,0.31709,9.201491,1.168733,0.601143,1.176871,0.70865,4.599014,0.417177,0.271368,0.33033,0.01767,0.303797,0.026533,0.059931,0.004194,0.038438,0.593135,1.168863,0.700642,-0.008008,4.564766,4.973684,4.111111,45.647663,0.284066,4.579679,'class 1'
9,2.828427,76.550636,-96,1628,-11.230448,-84.769554,0.197396,24920064,2704,8.528354,2.694091,71.400757,-87.904198,1252.060181,-7.081328,-80.822868,0.221562,21009400,2718.907471,6.493444,2.510767,46.996727,-51.665623,139.178665,6.668126,-58.333748,0.313974,5639298.5,2112.621826,2.03491,5.522705,1.250421,22.481321,-28.513737,147.524506,-3.699047,-24.81469,0.247476,181253.703125,222.935181,3.005649,0.970739,4.618761,0.155301,2.530958,-3.547596,3.089087,-1.435353,-2.112243,-0.081741,2.883201,0.22909,3.909593,1.874683,0.903944,4.589379,0.40922,0.265368,0.316154,0.01467,0.30173,0.014423,0.068556,0.004125,0.041273,3.938975,1.904065,0.933326,0.029382,4.670175,5.026316,4.472222,46.701752,0.190237,4.64693,'class 1'
6,2,72.904045,-66,-1024,32.00769,-98.00769,0.400391,36816912,8452,6.114637,1.45613,69.160835,-66.580093,-631.239197,25.69243,-92.272522,0.404901,30843582,6957.865234,6.409636,2.102574,51.261818,-62.977768,535.808716,-1.298121,-61.679646,0.435629,7230240,1822.964355,-0.295,5.620248,0.990599,25.59524,-34.744282,271.291351,-9.561901,-25.182381,0.295446,147273.78125,121.999695,0.494389,0.789389,4.617557,0.178714,2.445496,-3.393496,2.719814,-1.132586,-2.260909,-0.443837,7.330465,0.636557,1.49708,1.792079,1.002691,4.583849,0.403701,0.251964,0.290489,0.010338,0.29193,-0.00144,0.072184,0.003631,0.043033,1.530788,1.825788,1.036399,0.033708,4.73231,5.026316,4.552631,47.323097,0.175496,4.666667,'class 1'
4,10.770329,38.781441,-40,-240,15.777087,-55.777088,0.624523,4096000,2560,4.465106,9.824153,39.845436,-45.176487,0.727722,9.333568,-54.510056,0.613787,4159393,2038.004028,6.121765,5.526065,43.274113,-58.996841,765.619934,-15.039032,-43.957809,0.514502,1455416.75,418.147827,-1.656658,5.542433,2.071584,23.110352,-32.216579,250.666245,-11.910492,-20.306087,0.280073,36579.011719,35.243019,-1.077327,0.579331,4.582834,0.457543,2.645376,-3.697908,3.328003,-1.42321,-2.274698,-0.247859,4.957236,0.362516,-0.117728,1.53893,0.959599,4.533867,0.395696,0.259725,0.328645,0.020267,0.280384,0.048261,-0.02487,0.00291,0.026941,-0.068761,1.587897,1.008566,0.048967,4.606141,5.31579,4.210526,46.061405,0.383625,4.416667,'class 1'
9,21.023796,86.556343,-120,3452,-42.795349,-77.204651,1.488222,8524800,592,8.998327,19.513557,83.501358,-116.223045,3263.073975,-43.020138,-73.202911,1.426919,6152798.5,455.499817,8.734345,11.296439,67.378075,-94.91925,2218.235107,-39.191483,-55.727768,0.861763,1231840.375,136.724335,0.263982,7.396021,3.83119,31.887218,-44.792259,494.147278,-18.538847,-26.253412,0.211811,59703.355469,29.75725,1.602306,1.338325,5.995308,1.260708,5.000159,-7.007151,12.034998,-2.810695,-4.196455,-0.17614,47.144283,0.960166,3.003019,2.739038,1.400713,5.719426,0.249523,0.142207,0.121409,-0.007753,0.211953,-0.090544,0.605719,0.000674,0.045752,3.278901,3.014919,1.676595,0.275882,6.076316,6.657895,5.18421,60.763161,0.462082,6.125,'class 1'
7,11.045361,73.702103,-4,-2716,71.756355,-75.756355,-1.53241,174080,10880,6.930646,11.026094,68.200371,-6.374554,-2311.846436,64.959694,-71.334251,-1.533296,377418.0625,9288.019531,6.908287,10.972162,40.885399,-17.219116,-689.04718,30.458885,-47.678001,-1.539551,905115.3125,3052.686523,0.022359,6.695277,5.620914,15.694503,-18.910818,55.649532,-1.238935,-17.671883,1.566467,48286.039063,135.020889,0.235369,0.213009,5.913497,1.439296,4.128193,-5.73269,7.608335,-1.763986,-3.968704,0.817576,79.871651,2.430389,1.017148,0.994789,0.78178,5.691246,0.238862,0.170812,0.170473,-0.006921,0.253679,-0.083206,0.694891,0.001649,0.056746,1.2394,1.217041,1.004032,0.222252,5.729532,6.368421,5.138889,57.295322,0.43252,5.75,'class 1'
6,13.038404,56.382622,42,-1072,76.009087,-34.00909,-1.187187,10675728,6052,6.109748,12.52667,52.237541,41.878605,-789.608398,70.498619,-28.62001,-1.18207,8615192,4912.250977,6.366369,10.52345,30.062454,32.280952,-23.366592,39.968258,-7.687305,-1.100965,1183286.5,1135.526367,-0.25662,6.702851,5.083681,7.035707,-7.165636,-9.396129,3.085422,-10.251059,-0.920989,4566.273926,88.930855,-0.593103,-0.336483,6.037766,1.15563,5.321945,-7.489443,13.770369,-3.03399,-4.455453,0.944269,56.668316,1.010279,0.071983,0.328603,0.665086,5.70345,0.256734,0.143409,0.129658,-0.00766,0.218862,-0.089204,0.705901,0.000798,0.047452,0.406299,0.662919,0.999402,0.334316,5.749269,6.421052,5.222222,57.492687,0.366822,5.676169,'class 1'
6,8.944272,50.86256,54,-256,71.384682,-17.384682,-0.981568,11489040,3940,5.882111,8.261723,51.166752,55.21011,-166.144592,70.690636,-15.480526,-1.003561,11316995,3712.734619,5.489268,4.852241,47.178772,52.913044,118.610474,60.554531,-7.641487,-1.13831,6510487.5,2325.348389,0.392842,6.070795,4.000549,12.114588,8.321503,-47.890968,15.58028,-7.258778,-1.291918,18060.503906,260.811279,-0.188684,-0.581526,5.890193,1.41416,3.9535,-5.114687,4.695753,-0.636795,-4.477891,1.118923,192.982758,7.37701,-0.008083,-0.400925,0.180601,5.674345,0.242894,0.179102,0.184541,-0.006534,0.265754,-0.081213,0.780263,0.00205,0.060193,0.207766,-0.185076,0.39645,0.215849,5.675731,6.394737,5.111111,56.757313,0.445157,5.472953,'class 1'
