@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
2,3.336892,3.142857,5.476191,2.463412,-0.87348,3.545455,8.193182,1.597942,-1.73895,-0.86547,2.55642,5.021218,1.358943,-1.977949,-1.104469,-0.238999,1.54154,2.263606,Spot
3,1.727287,1.714286,1.571429,1.81031,0.083024,1.757576,2.314394,1.523634,-0.203653,-0.286676,1.910506,3.081803,1.336882,-0.390404,-0.473428,-0.186752,1.487335,2.218542,Spot
3,2.45043,3.285714,4.238095,2.086833,-0.363597,2.363636,3.613636,1.567456,-0.882974,-0.519377,2.178988,3.850651,1.340915,-1.109514,-0.745917,-0.22654,1.497974,2.249109,Spot
4,3.178293,2.857143,5.142857,2.348749,-0.829544,3.484848,6.007576,1.597921,-1.580372,-0.750828,2.299611,4.304414,1.344034,-1.834259,-1.004715,-0.253887,1.520263,2.245661,Spot
2,3.542028,3.571429,5.619048,2.491668,-1.050359,3.969697,5.342803,1.610644,-1.931384,-0.881024,2.455253,4.709904,1.34618,-2.195848,-1.145488,-0.264464,1.530395,2.28164,Spot
1,3.140431,2.857143,5.476191,2.455493,-0.684939,3.30303,4.467803,1.603691,-1.536741,-0.851802,2.470817,4.781372,1.347338,-1.793094,-1.108155,-0.256353,1.526343,2.273761,Spot
3,2.001144,3.142857,3.476191,1.879577,-0.121568,1.757576,2.939394,1.525957,-0.475187,-0.353619,1.972763,2.792224,1.324816,-0.676329,-0.554761,-0.201142,1.500507,2.260263,Spot
7,2.792484,3.857143,4.809524,2.131625,-0.660859,2.545455,4.630682,1.56928,-1.223204,-0.562345,2.167315,3.546115,1.328887,-1.463597,-0.802738,-0.240393,1.514184,2.275268,Spot
7,3.484547,5.142857,7.142857,2.353542,-1.131005,3.30303,5.405303,1.598342,-1.886205,-0.755201,2.338521,4.334174,1.331988,-2.152559,-1.021555,-0.266354,1.525329,2.280909,Spot
4,3.632649,4.857143,5.809524,2.456892,-1.175757,3.727273,5.767045,1.608979,-2.02367,-0.847913,2.486381,4.446103,1.334059,-2.29859,-1.122832,-0.274919,1.52077,2.280106,Spot
3,3.023823,3.142857,1.809524,2.397916,-0.625906,3.181818,4.778409,1.599665,-1.424158,-0.798252,2.501945,4.672848,1.335083,-1.68874,-1.062833,-0.264582,1.525836,2.294061,Spot
3,2.846245,4.142857,9.476191,2.16553,-0.680715,2.878788,5.297348,1.561661,-1.284584,-0.603869,2.18677,3.605606,1.316282,-1.529963,-0.849249,-0.245379,1.49848,2.255193,Spot
9,3.533261,5.142857,7.809524,2.341975,-1.191285,3.333333,4.729167,1.588422,-1.944838,-0.753553,2.2607,3.568489,1.319311,-2.213949,-1.022664,-0.269111,1.494934,2.235909,Spot
8,3.607298,5,6,2.40094,-1.206358,3.454545,4.505682,1.59663,-2.010668,-0.80431,2.412451,3.813594,1.321278,-2.28602,-1.079662,-0.275352,1.52381,2.26882,Spot
3,2.933495,3.142857,6.142857,2.316416,-0.617079,3,5.1875,1.585243,-1.348252,-0.731173,2.416342,3.783013,1.32216,-1.611335,-0.994256,-0.263083,1.512665,2.278349,Spot
4,3.199492,3.857143,6.809524,2.299025,-0.900467,3.424242,4.751894,1.567962,-1.631531,-0.731063,2.307393,3.323109,1.306133,-1.893359,-0.992892,-0.261828,1.513678,2.258049,Spot
3,3.25939,3.571429,4.952381,2.319595,-0.939795,3.272727,5.329545,1.5736,-1.68579,-0.745995,2.303502,3.337214,1.307967,-1.951423,-1.011628,-0.265633,1.514691,2.251938,Spot
4,2.824534,3,4.333333,2.215441,-0.609093,2.909091,4.335227,1.560559,-1.263975,-0.654882,2.206226,3.453399,1.308703,-1.515831,-0.906739,-0.251856,1.500507,2.275469,Spot
2,2.973488,3.142857,5.476191,2.197644,-0.775844,3.30303,6.155303,1.540894,-1.432594,-0.65675,2.159533,3.236169,1.294189,-1.679299,-0.903455,-0.246705,1.473657,2.196721,Spot
2,2.639737,2.714286,4.571429,2.085222,-0.554514,2.818182,5.278409,1.526767,-1.11297,-0.558455,2.070039,3.159138,1.294786,-1.344951,-0.790437,-0.231981,1.483789,2.219453,Spot
3,2.971285,3,4,2.273461,-0.697824,2.939394,4.621212,1.661742,-1.309543,-0.611719,2.29572,3.115333,1.507563,-1.463721,-0.765898,-0.154179,1.573961,1.947644,Spot
0,3.186959,3.571429,11.619047,2.266947,-0.920012,3.393939,5.183712,1.623781,-1.563178,-0.643166,2.18677,3.168106,1.486613,-1.700346,-0.780334,-0.137168,1.552178,1.929106,Spot
