@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
9779,13887.755859,2464.386475,12566.571289,7936193.5,13344.416992,-543.338867,-1010.660278,13870.939453,115557560,9878.294922,-4009.460938,-3466.12207,-314.635406,13931.758789,154636064,7601.099121,-6286.656738,-5743.317871,-2277.195801,-37.289043,9692.654297,72212960,Spot
13759,20151.859375,-4729.876465,21920.714844,336567424,15044.916992,-5106.942383,-2118.166016,21966.242188,282452640,10072.769531,-10079.089844,-4972.147461,-353.646667,15245.366211,168127008,7632.106934,-12519.751953,-7412.810059,-2440.662598,-38.544022,9768.493164,72297768,Spot
59338,25639.808594,-17957.230469,37547.429688,304196256,15833.532227,-9806.276367,-2801.996094,23939.060547,337047456,10138.173828,-15501.634766,-5695.358398,-363.638153,15421.229492,174617232,7656.38623,-17983.421875,-8177.145996,-2481.787598,-39.277534,9746.964844,72160104,Spot
31396,24664.273438,-13724.264648,30058.285156,377486144,15393.540039,-9270.733398,-2686.731934,26605.181641,284586016,10066.901367,-14597.37207,-5326.638672,-341.976471,14940.466797,163842800,7672.959961,-16991.3125,-7720.580078,-2393.941406,-39.464317,9749.178711,70379584,Spot
13854,18598.720703,-929.597961,19322.427734,86130512,15507.575195,-3091.145508,-1950.488647,18288.302734,160738368,10226.171875,-8372.548828,-5281.40332,-390.175598,16206.311523,213625440,7634.722656,-10963.998047,-7872.852539,-2591.449219,-38.775978,9768.47168,73959112,Spot
32984,26966.427734,-11319.029297,28545.572266,373267520,17570.796875,-9395.630859,-3378.027344,29310.363281,331043104,10438.584961,-16527.84375,-7132.211914,-435.148071,17689.246094,223500928,7666.283203,-19300.144531,-9904.513672,-2772.301758,-40.037251,9827.410156,74016888,Spot
56856,32830.511719,-25455.740234,52494.429688,120873040,18335.931641,-14494.580078,-4063.897217,32588.515625,355560416,10502.651367,-22327.859375,-7833.280273,-444.60022,17923.630859,220020928,7690.700195,-25139.8125,-10645.231445,-2811.951172,-40.748562,9785.786133,74175008,Spot
50807,30133.253906,-19619.441406,35911.855469,270857600,17510.107422,-12623.146484,-3644.144775,31733.273438,314077024,10411.083984,-19722.169922,-7099.023438,-416.222382,16886.458984,204202192,7706.968262,-22426.285156,-9803.138672,-2704.115723,-40.883305,9765.427734,72666160,Spot
2625,14678.331055,3743.080322,11318,63984824,14557.148438,-121.182617,-1176.193604,15798.09082,144850272,10147.853516,-4530.477539,-4409.294922,-376.664917,15582.661133,232440272,7622.182129,-7056.148926,-6934.966309,-2525.671387,-38.071213,9657.326172,74210320,Spot
25263,23664.167969,-4359.95752,25165.714844,307189440,17608.9375,-6055.230469,-3004.381592,24304.726563,274172672,10503.916992,-13160.250977,-7105.020508,-455.411163,18147.082031,259824816,7660.752441,-16003.416016,-9948.185547,-2843.164551,-39.829288,9709.711914,74597280,Spot
52891,33053.703125,-17056.414063,39207.714844,260586032,19837.246094,-13216.457031,-4571.296387,33704.03125,340687488,10726.833984,-22326.869141,-9110.412109,-503.713043,19665.388672,257994384,7692.452637,-25361.25,-12144.792969,-3034.381348,-41.076225,9783.539063,74222896,Spot
65535,37226.003906,-27349.324219,52920.855469,300283488,20382.019531,-16843.984375,-5035.593262,37531.847656,355440160,10785.902344,-26440.101563,-9596.117188,-511.04129,19868.595703,248558816,7716.687012,-29509.316406,-12665.332031,-3069.215332,-41.753021,9845.910156,74165136,Spot
46836,31806.976563,-18335.685547,43100.855469,284337440,19062.302734,-12744.673828,-4173.148438,32949.695313,346732928,10674.838867,-21132.136719,-8387.463867,-475.753479,18877.238281,243409392,7732.441895,-24074.535156,-11329.861328,-2942.396973,-41.832108,9835.835938,74137680,Spot
4196,17275.085938,5088.985352,10589.713867,39822564,15973.430664,-1301.655273,-1918.394287,18733.333984,225164048,10309.785156,-6965.300781,-5663.645508,-416.871643,17301.191406,269183200,7640.276855,-9634.808594,-8333.154297,-2669.508301,-38.661476,9657.037109,74336072,Spot
