@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
47998,28139.589844,-16232.03418,38006.570313,578895872,17257.904297,-10881.685547,-3665.887695,28623.908203,389717888,9889.810547,-18249.779297,-7368.09375,-408.866272,17350.863281,239619200,7487.554688,-20652.035156,-9770.349609,-2402.255859,-34.043587,9133.075195,59324816,Spot
44058,20092.367188,-9648.71875,26532.142578,252824800,14575.210938,-5517.15625,-2043.024658,18791.939453,298666016,9596.479492,-10495.887695,-4978.731445,-339.517731,15023.466797,193716656,7462.824707,-12629.542969,-7112.38623,-2133.654785,-32.996269,9131.945313,59818576,Spot
13745,22015.236328,-7904.109375,23452.285156,211861344,15245.27832,-6769.958008,-2504.779785,24406.666016,332067200,9678.985352,-12336.250977,-5566.292969,-354.632263,15886,242953856,7496.841309,-14518.394531,-7748.437012,-2182.144043,-33.092159,9161.246094,60215540,Spot
54774,28934.177734,-17127.925781,38368.429688,321860832,17383.912109,-11550.265625,-3825.137207,28040.302734,382789184,9894.00293,-19040.175781,-7489.90918,-409.449524,17305.070313,255875760,7502.440918,-21431.736328,-9881.470703,-2391.562012,-33.849041,9188.666016,60130496,Spot
39012,31375.544922,-16026.826172,37530,630007360,18384.962891,-12990.582031,-4438.158203,33492.605469,450265408,9988.539063,-21387.005859,-8396.423828,-434.937592,18051.580078,258445440,7500.816895,-23874.728516,-10884.146484,-2487.722168,-34.17672,9137.699219,59806104,Spot
65535,29677.03125,-17484.402344,42493.714844,469032864,17886.203125,-11790.828125,-4041.149902,28360.878906,384209248,9947.220703,-19729.810547,-7938.982422,-425.887634,17766.921875,248369664,7491.429199,-22185.601563,-10394.773438,-2455.791504,-34.04002,9135.978516,59910112,Spot
23508,23411.5625,-9255.927734,29356.857422,449108096,16104.081055,-7307.481445,-2860.763428,24404.242188,385712160,9773.457031,-13638.105469,-6330.624023,-384.299835,16605.486328,232266560,7474.16748,-15937.394531,-8629.914063,-2299.289551,-33.433311,9118.392578,59592960,Spot
17514,22405.109375,-4517.032227,23328.427734,468606272,17008.332031,-5396.777344,-2551.792969,23782.908203,443386432,10410.828125,-11994.28125,-6597.503906,-475.999084,17797.871094,317302624,7410.220215,-14994.888672,-9598.111328,-3000.60791,-38.639149,9872.445313,106043712,Spot
65535,29049.742188,-17958.914063,41008.570313,555660928,18614.8125,-10434.929688,-3515.011719,27329,471259296,10589.893555,-18459.847656,-8024.918945,-520.065308,18887.828125,328802656,7407.921875,-21641.820313,-11206.890625,-3181.97168,-39.45248,9871.435547,106451400,Spot
33654,21835.998047,-5111.933594,27798.427734,121885960,17223.765625,-4612.232422,-2406.8479,20165.484375,305072416,10537.37793,-11298.620117,-6686.387695,-497.38147,17753.191406,321009760,7428.37793,-14407.620117,-9795.387695,-3109,-39.032433,9950.233398,106289168,Spot
36521,31801.919922,-11803.098633,33611.144531,590304320,20629.904297,-11172.015625,-4396.60791,34976,484470496,10926.699219,-20875.220703,-9703.205078,-591.894958,21265.408203,381437696,7436.057129,-24365.863281,-13193.847656,-3490.64209,-40.601707,9983.529297,106248856,Spot
65535,39636.976563,-24506.111328,57753.855469,152288928,22702.404297,-16934.572266,-5712.682617,38552.789063,508875296,11130.228516,-28506.748047,-11572.175781,-644.354797,22260.294922,381263488,7433.894043,-32203.082031,-15268.509766,-3696.334473,-41.431702,9962.094727,106503720,Spot
62076,39153.496094,-22042.746094,44345.714844,510807872,22660.521484,-16492.974609,-5659.209961,41035.332031,474642144,11116.500977,-28036.996094,-11544.020508,-643.663696,22877.623047,383992160,7421.217773,-31732.277344,-15239.303711,-3695.283203,-41.468094,9903.693359,106684832,Spot
9371,15745.191406,1218.717041,14913.713867,141206672,15013.863281,-731.328125,-1137.864502,16638.333984,236862720,10298.107422,-5447.083984,-4715.755859,-436.906982,16114.657227,289877920,7427.831055,-8317.360352,-7586.032227,-2870.276367,-38.039951,9942.004883,105969352,Spot
41058,27406.166016,-11463.867188,37206.570313,263657488,19314.705078,-8091.460938,-3380.757813,25347.152344,400467392,10859.484375,-16546.681641,-8455.220703,-568.404175,19944.646484,372247328,7445.00293,-19961.164063,-11869.702148,-3414.481445,-40.300217,9989.768555,106210184,Spot
65029,39582.394531,-20653.890625,47611.570313,379224288,23326.619141,-16255.775391,-5840.744141,41578.183594,430075008,11280.930664,-28301.464844,-12045.688477,-673.497986,23519.572266,411836736,7452.991211,-32129.402344,-15873.62793,-3827.939453,-41.901169,9994.004883,106109520,Spot
65535,47119.175781,-26781.574219,60685.714844,158968960,25714.78125,-21404.394531,-7395.534668,48462.152344,398700192,11500.620117,-35618.554688,-14214.161133,-731.464111,24717.121094,404489952,7450.857422,-39668.320313,-18263.923828,-4049.762695,-42.735092,9991.376953,106371536,Spot
65535,46334.417969,-26128.824219,59299.285156,123806784,25593.554688,-20740.863281,-7257.779297,48405.210938,367312928,11485.099609,-34849.320313,-14108.455078,-730.304565,25484.599609,393729120,7437.942871,-38896.476563,-18155.611328,-4047.156738,-42.746494,9945.006836,106565080,Spot
13142,15516.907227,4282.290039,11987.713867,118404528,15567.811523,50.904297,-1267.773926,16722.060547,217749744,10414.357422,-5102.549805,-5153.454102,-460.619629,16892.615234,293274528,7434.447754,-8082.459473,-8133.36377,-2979.909668,-38.571312,10002.65332,105936488,Spot
35624,28648.748047,-9800.082031,31737.427734,425435296,20150.232422,-8498.515625,-3727.961914,29037.060547,500897280,10993.371094,-17655.376953,-9156.861328,-597.498596,21324.701172,396938560,7451.809082,-21196.939453,-12698.423828,-3541.562012,-40.846817,10024.980469,105914432,Spot
65535,42664.820313,-24918.914063,56102,256735072,24386.902344,-18277.917969,-6378.030273,44259.03125,343665632,11427.295898,-31237.523438,-12959.606445,-706.484375,24562.945313,421339104,7459.869629,-35204.949219,-16927.033203,-3967.42627,-42.451191,10049.655273,105886632,Spot
65535,49763.105469,-27160.929688,60588.429688,74508288,26862.880859,-22900.224609,-7999.660645,51677.636719,320815264,11652.728516,-38110.375,-15210.152344,-766.229187,26039.023438,412809152,7457.688965,-42305.417969,-19405.191406,-4195.039551,-43.276466,10050.162109,105890368,Spot
65535,47977.125,-24301.234375,57535.144531,228126832,26664.1875,-21312.9375,-7782.059082,50683.210938,283948960,11635.673828,-36341.453125,-15028.513672,-764.51178,26471.501953,406865888,7444.625977,-40532.5,-19219.5625,-4191.047852,-43.266472,10031.147461,106422664,Spot
7888,13681.608398,7750.148926,8246.713867,13187592,15173.391602,1491.783203,-1062.470215,13943.454102,174630336,10353.137695,-3328.470703,-4820.253906,-446.696228,16319.058594,266168096,7431.572754,-6250.035645,-7741.818848,-2921.564941,-38.392014,9987.71582,105947264,Spot
10048,25866.560547,-3721.840576,27569.427734,399513280,19540.134766,-6326.425781,-3371.494141,26865.455078,483704160,10921.655273,-14944.905273,-8618.479492,-579.692749,20881.697266,382823296,7448.730957,-18417.830078,-12091.404297,-3472.924316,-40.639229,10009.301758,105788672,Spot
65535,39910.117188,-22035.335938,51065.714844,386047072,23553.986328,-16356.130859,-5856.095703,40539.332031,469121056,11346.960938,-28563.15625,-12207.025391,-685.322205,23785.757813,406546816,7456.623047,-32453.494141,-16097.363281,-3890.337891,-42.218193,10046.276367,105760544,Spot
51292,46702.835938,-24252.728516,52768.144531,347543328,25864.203125,-20838.632813,-7345.044922,48938.546875,431921056,11567.147461,-35135.6875,-14297.055664,-742.92749,25493.136719,416451616,7454.321289,-39248.515625,-18409.882813,-4112.826172,-43.022404,10077.566406,106014288,Spot
65535,44650.722656,-22537.070313,56798.714844,250350352,25612.238281,-19038.484375,-7077.077148,45599.574219,405589344,11549.150391,-33101.570313,-14063.087891,-740.76355,25448.132813,404354752,7441.203125,-37209.519531,-18171.035156,-4107.947266,-42.995552,10058.683594,106101872,Spot
14656,21320.953125,500.32608,16722.285156,202068480,17705.8125,-3615.140625,-2504.642822,22750.787109,424898336,10656.761719,-10664.191406,-7049.050781,-519.022644,18877.945313,348421792,7435.807129,-13885.146484,-10270.005859,-3220.95459,-39.692291,9940.998047,106148208,Spot
48691,32587.726563,-13345.555664,37439.429688,496689024,21105.203125,-11482.523438,-4499.551758,34121.546875,498520672,11053.946289,-21533.78125,-10051.256836,-614.785278,21499.054688,373536736,7443.292969,-25144.433594,-13661.910156,-3610.65332,-41.217308,9982.350586,106133480,Spot
17936,38061.484375,-14077.814453,39060.570313,612895424,23038.566406,-15022.917969,-5681.966309,42770.96875,478905408,11258.911133,-26802.574219,-11779.655273,-666.840637,23144.867188,392996512,7440.793457,-30620.691406,-15597.773438,-3818.117676,-41.988213,10034.442383,105838320,Spot
65535,36523.621094,-16212.979492,43678.570313,543217344,22775.251953,-13748.369141,-5410.749512,37113.910156,495194464,11240.865234,-25282.755859,-11534.386719,-664.525208,23113.941406,393178720,7427.709473,-29095.912109,-15347.542969,-3813.155762,-41.949123,10020.046875,105940864,Spot
13300,12370.375977,-3529.43042,15099.428711,54826872,9981.454102,-2388.921875,-895.76123,12496.09082,78163576,8028.439941,-4341.936035,-1953.01416,-131.048248,10269.552734,43824228,7235.226074,-5135.149902,-2746.228027,-793.213867,-20.488773,7844.484863,20759466,Spot
11646,12223.052734,-1457.438721,11363.571289,12291432,10034.201172,-2188.851563,-959.02478,12734.302734,78300520,8020.804688,-4202.248047,-2013.396484,-130.181824,10148.637695,43461316,7234.149414,-4988.90332,-2800.051758,-786.655273,-20.524164,7791.181641,20665492,Spot
12906,11678.367188,-1330.056763,11502.571289,32170484,9734.251953,-1944.115234,-822.950684,11769.211914,46955604,7977.89502,-3700.472168,-1756.356934,-120.392822,9582.03125,40276288,7230.925293,-4447.441895,-2503.32666,-746.969727,-20.406799,7771.223633,20499090,Spot
21771,12553.258789,1.505615,10227.142578,34910908,11747.916992,-805.341797,-931.985657,12519.545898,54062484,8876.59082,-3676.667969,-2871.326172,-223.088074,12803.727539,145095120,7491.139648,-5062.119141,-4256.777344,-1385.451172,-25.78853,8588.143555,38313648,Spot
7125,13441.123047,2100.861084,14862.713867,64854208,12472.245117,-968.87793,-1331.444336,13334.211914,70730264,8939.654297,-4501.46875,-3532.59082,-244.15979,13607.96875,154157584,7488.054199,-5953.068848,-4984.190918,-1451.600098,-25.63954,8601.874023,38102736,Spot
24569,14025.386719,746.06012,14758.571289,62353032,12597.643555,-1427.743164,-1417.986816,13601.788086,134344896,8931.496094,-5093.890625,-3666.147461,-248.085297,13628.661133,156541264,7481.464844,-6543.921875,-5116.178711,-1450.03125,-25.277256,8609.067383,37957536,Spot
13314,12965.457031,-968.250244,14439.286133,34322868,11610.262695,-1355.194336,-970.169067,12751.90918,47619088,8822.450195,-4143.006836,-2787.8125,-214.196579,12397.645508,132865672,7480.148926,-5485.308105,-4130.11377,-1342.30127,-25.462708,8569.960938,38043120,Spot
21658,14849.300781,-2574.633301,16320.857422,50514420,12337.003906,-2512.296875,-1392.30835,14058.697266,74687416,8891.081055,-5958.219727,-3445.922852,-235.687943,13136.848633,149048144,7477.656738,-7371.644043,-4859.347168,-1413.424316,-25.360821,8582.213867,38253764,Spot
21340,14956.296875,-1980.302979,18406.285156,64954264,12439.423828,-2516.873047,-1448.286621,14500.757813,118865992,8888.576172,-6067.720703,-3550.847656,-240.164276,13068.988281,144000640,7471.566895,-7484.72998,-4967.856934,-1417.009277,-25.038246,8565.921875,38027492,Spot
15261,12732.710938,-3031.677734,15979,49652480,10965.919922,-1766.791016,-770.788879,12563.90918,42324504,8698.587891,-4034.123047,-2267.332031,-189.46344,11295.882813,105215632,7465.755859,-5266.955078,-3500.164063,-1232.832031,-24.888609,8483.291016,38175860,Spot
26728,14712.402344,-5988.367188,19385.285156,51772916,11587.136719,-3125.265625,-1109.022339,14500.211914,60382004,8769.097656,-5943.304688,-2818.039063,-209.927048,12036.65332,130281792,7463.976074,-7248.42627,-4123.160645,-1305.121582,-24.835354,8501.266602,37991304,Spot
29390,14203.094727,-4037.196289,17066.572266,93595904,11646.126953,-2556.967773,-1105.608276,13125.848633,51280992,8772.274414,-5430.820313,-2873.852539,-214.743988,12077.380859,128878960,7458.558105,-6744.536621,-4187.568848,-1313.716309,-24.559687,8525.49707,38267552,Spot
18093,12612.128906,-4258.888672,15370.857422,34857680,10487.355469,-2124.773438,-634.645874,12910.333008,41420780,8591.791992,-4020.336914,-1895.563477,-172.370239,10499.564453,90970032,7447.404297,-5164.724609,-3039.951172,-1144.387695,-24.094831,8427.666992,38181756,Spot
13473,11910.319336,-2902.101318,15358,80944704,10500.264648,-1410.054688,-572.143127,11286.151367,46120188,8600.199219,-3310.120117,-1900.06543,-177.303284,10997.370117,98398680,7442.775879,-4467.543457,-3057.48877,-1157.42334,-23.87044,8492.584961,38109008,Spot
6154,6720.51709,1673.033936,4498.856934,6851897,7338.105469,617.588379,113.269867,6708.605957,13574095,7413.695313,693.178223,75.589844,-34.796677,7169.377441,15444342,7080.204102,359.687012,-257.901367,-333.491211,-16.98387,7499.136719,15110673,NotSpot
5521,6773.666504,1044.04248,6558.285645,2042383.875,7317.124512,543.458008,113.856201,7020.394043,12661976,7418.466797,644.800293,101.342285,-31.46384,7281.171387,15079230,7086.006836,312.340332,-231.117676,-332.459961,-17.328707,7531.290039,14827723,NotSpot
7353,7462.270508,-595.390869,8180.285645,30055770,7349.140625,-113.129883,24.957058,7108.060547,15940210,7406.989746,-55.280762,57.849121,-28.096149,7362.548828,15817180,7089.369141,-372.901367,-259.771484,-317.620605,-17.313997,7505.884766,15014028,NotSpot
17932,8073.226074,-1753.484863,8951.857422,34882616,7409.580566,-663.645508,-72.743088,7485.060547,19059932,7407.349609,-665.876465,-2.230957,-26.485216,7256.264648,14600182,7094.141602,-979.084473,-315.438965,-313.208008,-17.374386,7492.48584,14990183,NotSpot
7004,7071.874512,591.146545,6296.143066,5460693,7359.062012,287.1875,61.103909,7413.515137,10626879,7422.710449,350.835938,63.648438,-29.253435,7365.563965,14235818,7091.443359,19.568848,-267.618652,-331.26709,-17.612453,7541.461914,15007870,NotSpot
4153,7677.526855,-561.52832,9113.713867,14337635,7405.995605,-271.53125,-44.234035,7370.515137,18034094,7413.388184,-264.138672,7.392578,-26.314486,7337.824707,15049725,7094.140137,-583.386719,-311.855469,-319.248047,-17.588253,7521.484375,14905529,NotSpot
13854,8459.443359,-1931.990967,9398.713867,46187972,7474.669922,-984.773438,-161.3358,8805.666992,18836800,7414.914063,-1044.529297,-59.755859,-25.062033,7226.996094,14879432,7098.024414,-1361.418945,-376.645508,-316.889648,-17.626118,7548.042969,14923443,NotSpot
16365,8925.753906,-2884.78418,9201.713867,24723884,7519.324219,-1406.429688,-200.935684,8866.848633,24783076,7430.208008,-1495.545898,-89.116211,-26.430391,7293.432129,14263412,7103.025879,-1822.728027,-416.29834,-327.182129,-17.73283,7586.990723,15457045,NotSpot
6538,8726.824219,-2979.803955,11977.286133,27804378,7533.450195,-1193.374023,-129.699493,8509,19859270,7461.818359,-1265.005859,-71.631836,-30.962532,7336.007813,14761388,7109.185059,-1617.63916,-424.265137,-352.633301,-17.914612,7624.018555,15723571,NotSpot
8156,7504.45459,-137.401184,8009.285645,13079777,7426.625488,-77.829102,-9.938499,7697.90918,11401778,7425.168457,-79.286133,-1.457031,-27.888773,7396.692383,13206201,7096.271484,-408.183105,-330.354004,-328.896973,-17.819717,7484.234375,15021131,NotSpot
10657,7805.770996,-352.59436,6997.285645,7851115.5,7452.641113,-353.129883,-92.613251,7617.151367,15345871,7418.120117,-387.650879,-34.520996,-25.197914,7327.206055,14238930,7098.375977,-707.39502,-354.265137,-319.744141,-17.79254,7547.009766,15307253,NotSpot
9191,8368.823242,-1359.258545,10734.713867,10410703,7489.114258,-879.708984,-177.0672,8567.484375,20892096,7420.825684,-947.997559,-68.288574,-24.108421,7299.19043,13951999,7101.447266,-1267.375977,-387.666992,-319.378418,-17.814425,7573.528809,15095866,NotSpot
10580,8810.547852,-2425.913086,9749.286133,27081722,7504.53125,-1306.016602,-196.392014,8523.939453,25171840,7435.572266,-1374.975586,-68.958984,-25.454487,7270.848145,14073209,7105.393555,-1705.154297,-399.137695,-330.178711,-17.890495,7602.515137,15341936,NotSpot
16362,8762.927734,-3191.484863,9926.857422,31309394,7497.814453,-1265.113281,-121.456055,8962.454102,21301734,7464.588379,-1298.339355,-33.226074,-29.756613,7255.245117,14204486,7110.308105,-1652.619629,-387.506348,-354.280273,-18.027662,7690.733887,15875456,NotSpot
4590,7924.914551,-1043.751343,8746.142578,16102129,7510.833496,-414.081055,-0.556129,8279.121094,22407424,7506.166504,-418.748047,-4.666992,-36.859081,7513.035156,15345545,7116.399414,-808.515137,-394.434082,-389.76709,-18.226078,7674.093262,15873625,NotSpot
5900,7257.682617,900.01947,6112,9087068,7592.429199,334.746582,75.498566,7600.36377,12814162,7556.037598,298.35498,-36.391602,-45.816475,7472.490234,13639879,7123.257813,-134.424805,-469.171387,-432.779785,-18.48139,7720.43457,15780608,NotSpot
2708,7877.339844,-596.456787,8851.142578,11703040,7458.106934,-419.23291,-88.215668,7302.788086,13837310,7421.486816,-455.853027,-36.620117,-24.468672,7507.077637,14676689,7101.943359,-775.396484,-356.163574,-319.543457,-17.922882,7537.252441,15471179,NotSpot
13333,7803.743652,-425.415649,6651.856934,24310150,7432.172852,-371.570801,-96.784302,8285.727539,16440355,7425.928711,-377.814941,-6.244141,-23.588095,7456.155762,13766146,7104.301758,-699.441895,-327.871094,-321.626953,-17.935066,7610.660645,15481159,NotSpot
2440,7638.440918,150.12027,8203.713867,18563916,7400.755371,-237.685547,-64.263115,7961.666504,20742984,7440.573242,-197.867676,39.817871,-24.94162,7427.455078,13554438,7107.294922,-531.145996,-293.460449,-333.27832,-17.98711,7611.163574,15431978,NotSpot
3476,7463.959473,311.018494,6397.143066,27426086,7379.48584,-84.473633,9.501044,7787.939453,18833750,7467.263184,3.303711,87.777344,-29.007946,7398.859863,14232067,7111.078613,-352.880859,-268.407227,-356.18457,-18.086727,7617.292969,15592539,NotSpot
10644,7434.530273,-846.183167,8160.428711,25552310,7401.804688,-32.725586,91.516266,7152.788086,18647434,7504.264648,69.734375,102.459961,-35.64093,7320.369629,13867136,7115.81543,-318.714844,-285.989258,-388.449219,-18.233812,7688.909668,15982159,NotSpot
9773,7289.663574,-392.712372,8024.714355,3301780,7493.40332,203.739746,134.693085,6935.09082,12545813,7547.58252,257.918945,54.179199,-43.926567,7456.918457,14317041,7121.140137,-168.523438,-372.263184,-426.442383,-18.425316,7687.72998,15604664,NotSpot
5739,7318.48291,176.208099,6779.143066,6275696,7637.333984,318.851074,128.270081,7305.242188,9763128,7592.447754,273.964844,-44.88623,-52.567436,7594.700195,15916118,7126.98584,-191.49707,-510.348145,-465.461914,-18.642994,7684.23877,15634681,NotSpot
8399,7389.969238,-36.864685,8958.286133,8297321,7777.419434,387.450195,112.021378,6827.848633,10508249,7632.677246,242.708008,-144.742188,-59.783112,7905.32666,16758155,7132.99707,-256.972168,-644.422363,-499.680176,-18.870327,7707.469727,15526870,NotSpot
5129,6301.20752,2116.812256,4623.285645,2302754,7252.750488,951.542969,166.951157,6472.54541,16001598,7469.900391,1168.692871,217.149902,-28.990835,7380.175293,13854917,7111.233887,810.026367,-141.516602,-358.666504,-18.087658,7604.225586,15541736,NotSpot
4375,6625.171875,950.524231,6427.571289,7638661,7300.35498,675.183105,198.411072,6307.394043,13041979,7502.951172,877.779297,202.596191,-35.255287,7371.859863,13939333,7114.734863,489.562988,-185.620117,-388.216309,-18.191832,7661.630371,15671757,NotSpot
7806,7065.108398,-119.874817,7049,12547328,7417.865234,352.756836,190.714706,7264.757813,10859902,7540.280273,475.171875,122.415039,-42.909206,7332.38916,14029713,7118.650879,53.54248,-299.214355,-421.629395,-18.328482,7641.675293,15689672,NotSpot
7938,7189.801758,123.531555,6913.571289,2603014.5,7569.296387,379.494629,166.413635,7284.121094,8826112,7577.598145,387.796387,8.301758,-50.745922,7650.517578,16013963,7122.952637,-66.849121,-446.34375,-454.645508,-18.481958,7660.20459,15528667,NotSpot
9404,7092.793945,297.824127,7683.714355,4636126.5,7704.745605,611.95166,154.328186,6768.788086,8319490.5,7609.814941,517.020996,-94.930664,-57.209053,7799.840332,14584746,7127.327637,34.533691,-577.417969,-482.487305,-18.639385,7650.17627,15355757,NotSpot
5433,6639.176758,2048.013428,5939,8574372,7786.128906,1146.952148,159.976776,6702.060547,11884285,7631.707031,992.530273,-154.421875,-60.836441,8174.984375,16461288,7131.569336,492.392578,-654.55957,-500.137695,-18.786522,7620.610352,15561346,NotSpot
8457,6597.926758,2282.418457,4668.428711,6974631.5,7807.188965,1209.262207,150.964142,6306,11103124,7639.84082,1041.914063,-167.348145,-60.819927,7967.241211,16643765,7135.494629,537.567871,-671.694336,-504.346191,-18.905308,7652.660156,15456785,NotSpot
6982,7421.951172,-575.805725,8204.571289,3467369.5,7582.657227,160.706055,134.413895,7374.969727,9184244,7566.702148,144.750977,-15.955078,-50.11813,7609.432129,15062989,7119.22168,-302.729492,-463.435547,-447.480469,-18.301527,7656.384277,15596960,NotSpot
7999,7203.01416,420.060883,7137.714355,1608244.625,7713.018066,510.003906,116.732613,7037.969727,7987118.5,7591.723633,388.709473,-121.294434,-55.829124,7851.436035,15474202,7122.113281,-80.900879,-590.904785,-469.610352,-18.400352,7656.292969,15575173,NotSpot
6370,6993.345215,1320.498535,6379.714355,6532486,7798.562012,805.216797,105.09124,6558.09082,8512350,7606.833984,613.48877,-191.728027,-58.95039,8153.081543,16576813,7124.844238,131.499023,-673.717773,-481.989746,-18.48674,7671.854492,15691057,NotSpot
7131,7171.831055,868.064514,7984.143066,10134587,7833.436523,661.605469,74.039955,6728.54541,9855732,7609.556641,437.725586,-223.879883,-58.804741,7823.10498,16593776,7127.233887,-44.597168,-706.202637,-482.322754,-18.545443,7631.816895,15493933,NotSpot
6284,7691.330566,258.689453,7212.143066,6422751.5,7819.074707,127.744141,17.918705,7595.060547,12311647,7597.85498,-93.475586,-221.219727,-55.250759,7854.797852,15668570,7128.681152,-562.649414,-690.393555,-469.173828,-18.556473,7586.599121,15578295,NotSpot
9196,8161.024902,-1031.525513,8975.286133,16858080,7750.739746,-410.285156,-31.139519,8548.727539,15595275,7572.675781,-588.349121,-178.063965,-48.8176,7622.334473,15437028,7129.219727,-1031.805176,-621.52002,-443.456055,-18.507048,7603.544434,15730363,NotSpot
8800,7958.495605,-338.498779,8162.143066,3776210,7900.041992,-58.453613,-44.545612,8206.121094,11878478,7585.796387,-372.699219,-314.245605,-57.888752,7988.852051,15842409,7119.65918,-838.836426,-780.382813,-466.137207,-18.206535,7602.248047,15470662,NotSpot
7090,8196.256836,-390.971313,7795.571289,12859986,7887.930176,-308.32666,-87.329117,8566.484375,13450191,7571.575684,-624.681152,-316.354492,-54.700447,7943.179199,16759822,7119.797852,-1076.458984,-768.132324,-451.777832,-18.17524,7560.938965,15322533,NotSpot
14658,8442.755859,-1798.583374,9593,14876761,7809.500977,-633.254883,-100.060364,7675.060547,12586974,7546.0625,-896.693359,-263.438477,-49.038662,7762.758789,15723558,7119.098145,-1323.657715,-690.402832,-426.964355,-18.09045,7592.591309,15772174,NotSpot
5733,7972.478516,-520.103027,8700.713867,17226072,7671.017578,-301.460938,-68.676544,7958.90918,13895130,7511.838867,-460.639648,-159.178711,-41.812637,7556.696289,15313883,7117.378906,-855.099609,-553.638672,-394.459961,-17.940651,7572.276367,15659717,NotSpot
3758,6644.083496,2156.087891,5677.428711,8865300,7619.023438,974.939941,156.251999,6617.272949,14879233,7495.5625,851.479004,-123.460938,-58.610283,7593.906738,17600090,7043.084473,399.000977,-575.938965,-452.478027,-17.331688,7517.368652,16523373,NotSpot
7861,7049.830078,1036.244873,6739.856934,15634975,7749.680176,699.850098,118.682838,7089.757813,19581438,7513.162109,463.332031,-236.518066,-66.001747,7768.80957,19284096,7039.750488,-10.07959,-709.929688,-473.411621,-17.141232,7560.776855,16726340,NotSpot
10682,7870.625,-847.171753,9388.713867,32050586,7907.77002,37.14502,16.134171,7347.63623,21698918,7520.592773,-350.032227,-387.177246,-71.506432,8022.155762,19844232,7036.716309,-833.908691,-871.053711,-483.876465,-16.908525,7535.768066,16554283,NotSpot
10075,8363.87207,-1314.545898,9569.713867,10833335,8032.780762,-331.091309,-74.358734,8289.757813,20908036,7516.410156,-847.461914,-516.370605,-74.439972,8066.984375,21067550,7034.130371,-1329.741699,-998.650391,-482.279785,-16.64917,7464.251953,16212086,NotSpot
10819,7863.508789,854.552612,6916.571289,11664457,8080.650391,217.141602,-99.40329,8498.333008,24273768,7500.656738,-362.852051,-579.993652,-74.372192,8250.821289,21773498,7032.154297,-831.354492,-1048.496094,-468.502441,-16.38023,7506.395996,16122178,NotSpot
4268,7465.469727,1225.618408,6093.285645,9158690,7569.29248,103.822754,-46.032982,7884.939453,10089561,7446.61377,-18.855957,-122.678711,-40.313576,7395.25293,16881122,7086.378418,-379.091309,-482.914063,-360.235352,-17.913097,7492.387695,16046135,NotSpot
6236,7388.293457,871.560181,5966.428711,6866664.5,7520.26123,131.967773,-28.140902,7422.060547,13003004,7413.116211,24.822754,-107.14502,-37.512985,7497.618652,17399306,7079.674805,-308.618652,-440.586426,-333.441406,-17.566265,7458.953613,15867108,NotSpot
6633,7094.419922,515.451538,5834.143066,8840264,7432.757813,338.337891,42.037148,7297.060547,14469945,7378.925293,284.505371,-53.83252,-34.642193,7660.657715,16155064,7072.875977,-21.543945,-359.881836,-306.049316,-17.218779,7407.007813,15640575,NotSpot
1708,6744.781738,1349.939453,6093.714355,29155742,7355.286133,610.504395,80.5653,6832.605957,14451076,7345.763672,600.981934,-9.522461,-31.892868,7540.225586,15775635,7066.59375,321.812012,-288.692383,-279.169922,-16.89353,7343.086914,15352651,NotSpot
542,6697.134277,2304.360107,4243.285645,6419173.5,7316.855469,619.721191,53.236771,7298.333496,17198024,7314.270508,617.13623,-2.584961,-29.312799,7141.92627,14607632,7060.852051,363.717773,-256.003418,-253.418457,-16.59309,7324.371094,15928718,NotSpot
4573,7095.634277,1214.958252,5143.285645,11413829,7304.959473,209.325195,-5.529541,7416.727051,15858704,7286.069824,190.435547,-18.889648,-26.988903,7186.490234,14225505,7055.890137,-39.744141,-249.069336,-230.179688,-16.333595,7341.467285,15487168,NotSpot
9288,7358.366699,300.283447,6403.571289,5981283.5,7290.711426,-67.655273,-48.473122,7278.757813,15844849,7262.973633,-95.393066,-27.737793,-25.046886,7249.953125,13701967,7051.638184,-306.728516,-239.073242,-211.335449,-16.122639,7349.515625,15117345,NotSpot
3103,7427.678711,116.22599,8506.713867,28926322,7253.154785,-174.523926,-49.982746,7243.605957,16631824,7244.322266,-183.356445,-8.83252,-23.448551,7136.669434,13962653,7048.54834,-379.130371,-204.606445,-195.773926,-15.969077,7322.333496,14704790,NotSpot
