@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute class {Spots,'Not Spots'}

@data
3,2.740084,-0.410775,7,2.857143,3,7.142857,2.286118,-0.453965,-0.254068,9,2.818182,2,8.153409,Spots
5,3.902463,-1.687727,9,5.714286,7,10.571428,2.7566,-1.145863,-0.46529,10,3.757576,3,11.439394,Spots
8,4.748659,-2.169719,8,5.714286,6,6.238095,3.084625,-1.664033,-0.637206,15,4.848485,5,13.820076,Spots
6,5.032907,-2.265115,8,5.714286,6,5.571429,3.171289,-1.861619,-0.698027,15,4.969697,5,16.967804,Spots
5,4.712616,-2.356304,13,6.428571,6,17.619047,2.986644,-1.725972,-0.622102,18,4.878788,3,20.859848,Spots
2,3.671764,-1.19019,8,3.571429,3,6.619048,2.583406,-1.088359,-0.442183,18,3.69697,2,18.467804,Spots
0,1.816045,0.30146,9,2,0,11,1.784736,-0.031309,-0.117643,9,1.909091,1,5.960227,Spots
9,2.674529,-1.124137,9,3.142857,2,9.142858,2.119938,-0.55459,-0.251195,9,2.363636,1,8.051136,Spots
3,3.251969,-1.238473,9,4.571429,4,10.285714,2.357418,-0.894551,-0.369404,9,3.30303,2,9.092803,Spots
6,3.479805,-1.299746,6,4.142857,6,6.142857,2.423276,-1.056529,-0.420014,11,3.545455,3,9.068182,Spots
6,3.279292,-1.326231,6,3.714286,3,4.571429,2.289607,-0.989685,-0.375212,13,3.515152,2,9.945076,Spots
7,3.81672,-1.072319,7,3.571429,4,6.285714,2.659765,-1.156955,-0.488255,16,4.121212,3,18.734848,Spots
8,4.719829,-0.776197,8,4.571429,6,11.619047,3.60627,-1.113559,-0.64689,16,4.454545,3,19.693182,Spots
6,5.766844,-2.278135,14,6.857143,6,22.142857,3.698183,-2.068661,-0.82263,18,6.030303,4,29.530304,Spots
6,5.853543,-2.9559,16,7.571429,6,30.285715,3.465004,-2.388539,-0.82452,18,6,4,31.625,Spots
5,3.946709,-0.073793,7,4,4,3.333333,3.52561,-0.421099,-0.440012,10,3.69697,3,9.592803,Spots
3,4.955437,0.019982,10,5,5,10.666667,4.097991,-0.857445,-0.702354,13,5.121212,5,14.422348,Spots
8,6.272284,-1.523823,13,7.714286,8,13.904762,4.458853,-1.813431,-0.966029,17,6.181818,6,27.27841,Spots
11,7.51328,-3.876038,16,8.714286,8,29.571428,4.492351,-3.020929,-1.130873,27,7.727273,6,41.704544,Spots
14,7.50986,-4.936395,18,9.285714,9,29.904762,4.13833,-3.37153,-1.081661,27,7.878788,6,44.359848,Spots
7,4.929833,-0.303938,10,5.285714,5,14.904762,4.158998,-0.770835,-0.665922,19,4.757576,3,18.564394,Spots
