@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spots,'Not Spots'}

@data
15,9.700381,6.106034,4.089488,0.454623,-9.740899,2.773741,8.502772,5.656744,2.096168,1.539426,25,16.714285,17,49.238094,3.898865,-5.801517,0.717742,0.666463,0.167547,-1.551752,0.501288,0.266844,0.217268,0.152648,0.118051,25,9.545455,7,60.00568,1.372576,-8.327805,-2.526289,0.049371,0.036491,0.027986,-0.113848,0.07135,0.004993,0.001801,0.005308,0.003121,36,3.455253,1,41.444279,Spots
25,9.893215,5.62239,4.785517,0.15242,-10.560328,3.867975,9.812193,6.000233,2.10873,1.545161,25,15,15,84,3.873781,-6.019434,0.701179,0.629149,0.215139,-1.545467,0.612636,0.340573,0.221296,0.151678,0.119374,34,10.363636,5,98.55114,1.368792,-8.524424,-2.50499,0.048665,0.036267,0.028209,-0.113142,0.072078,0.004966,0.001842,0.005046,0.003304,36,3.400778,1,41.811405,Spots
9,4.821815,2.842749,1.254439,0.171673,-1.416638,3.580501,5.902865,3.706558,1.773875,1.337693,14,5.285714,4,23.238094,3.03289,-1.788925,0.550614,0.323652,0.006905,-0.867361,0.885703,0.477856,0.161617,0.140364,0.108458,24,4.69697,3,35.030304,1.274799,-3.547016,-1.758091,0.039839,0.033785,0.021813,-0.095437,0.107872,0.010252,0.001104,0.006008,0.002729,36,3.29572,1,40.568459,Spots
14,6.874141,4.133093,1.281822,0.807346,-3.658617,4.187107,7.700607,4.946057,1.969936,1.447703,15,7.571429,7,28.619047,3.52789,-3.346251,0.647443,0.500711,0.086302,-1.234456,0.759118,0.390841,0.208279,0.143234,0.120649,30,7.818182,3,76.715912,1.320889,-5.553252,-2.207001,0.045584,0.035115,0.02526,-0.105959,0.09095,0.007567,0.001525,0.005382,0.003252,36,3.447471,1,41.404457,Spots
3,6.172991,2.753531,1.588205,0.398995,-1.564321,5.154343,10.126629,3.726718,1.997421,1.43756,25,6.857143,2,85.14286,3.46647,-2.706521,0.583487,0.459502,0.12036,-1.163348,0.861843,0.464283,0.183181,0.140594,0.122986,25,6.909091,2,70.960228,1.322099,-4.850892,-2.14437,0.046456,0.033841,0.025662,-0.105959,0.087907,0.006951,0.001727,0.004789,0.003768,36,3.431907,1,41.847885,Spots
8,4.772644,2.740024,2.336121,0.353657,-4.722488,2.564967,2.200206,1.593052,0.557076,0.455439,16,7.142857,6,28.142857,2.052797,-2.719847,0.316018,0.271763,0.075394,-0.663175,0.346432,0.074708,0.04497,0.049732,0.029385,22,4.787879,2,36.609848,1.032466,-3.740177,-1.02033,0.029898,0.024147,0.002811,-0.051234,0.077401,0.005351,0.000758,0.002875,0.002633,22,1.848249,1,9.847976,Spots
12,4.941394,2.865645,2.674427,0.008778,-5.531294,2.571973,2.173564,1.729036,0.5891,0.489644,15,7.714286,8,33.904762,2.054632,-2.886762,0.301441,0.268552,0.085739,-0.655731,0.362719,0.087369,0.035461,0.054335,0.030832,22,4.969697,3,36.092804,1.044123,-3.897271,-1.010509,0.030834,0.024726,0.002937,-0.052623,0.082002,0.006031,0.000771,0.003566,0.002345,22,1.821012,1,9.756901,Spots
4,5.014864,2.986807,1.855363,0.120346,-4.721824,2.835917,2.458859,1.982253,0.715784,0.554728,20,7.571429,5,46.285713,2.123363,-2.8915,0.320119,0.2364,0.118969,-0.675488,0.35777,0.091333,0.039817,0.063081,0.036964,22,5.606061,3,38.183712,1.098382,-3.916482,-1.024981,0.033563,0.026492,0.001883,-0.058172,0.080877,0.005791,0.000945,0.00328,0.00296,22,1.840467,1,9.868981,Spots
13,5.186604,3.133479,2.52244,0.207888,-5.863808,2.817605,2.672346,1.812319,0.779089,0.611534,22,8.571428,5,55.619049,2.147723,-3.038881,0.332857,0.192653,0.127451,-0.652961,0.340931,0.07878,0.04889,0.068815,0.040312,22,5.181818,3,37.153408,1.120926,-4.065679,-1.026798,0.03555,0.027531,0.00128,-0.061802,0.082861,0.006103,0.001027,0.003827,0.002781,22,1.871595,1,9.854542,Spots
2,4.118311,3.047596,1.829433,0.538089,1.756252,4.311061,9.837536,2.803941,1.999517,1.459482,9,2.428571,1,10.285714,3.22743,-0.890882,0.494169,0.206862,0.117472,-0.818503,0.982186,0.527,0.140284,0.155621,0.103001,20,4.090909,1,33.772728,1.37014,-2.748172,-1.85729,0.047682,0.036294,0.028353,-0.112329,0.069176,0.005313,0.001404,0.005737,0.003181,36,3.346303,1,41.719448,Spots
