@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute class {Spots,'Not Spots'}

@data
4,2.17735,-1.734154,7,3.142857,2,6.809524,1.614054,-0.563296,-0.103971,11,2.0625,1,8.189516,'Not Spots'
5,2.840953,-1.821105,8,3.571429,4,7.619048,2.105533,-0.73542,-0.202769,11,2.875,2,8.306452,'Not Spots'
8,3.528963,-3.824369,11,6,6,11.333333,2.179054,-1.349909,-0.231499,11,3.03125,2.5,8.934476,'Not Spots'
7,3.167099,-2.95057,8,4.714286,5,7.238095,2.14554,-1.021559,-0.192334,11,3,2.5,8.645162,'Not Spots'
3,2.216717,-0.688397,7,2.428571,2,5.285714,2.032715,-0.184001,-0.114778,8,2.0625,1,5.479839,'Not Spots'
5,2.995771,-1.359505,5,3.428571,4,3.619048,2.491534,-0.504237,-0.201895,11,2.96875,3,7.450605,'Not Spots'
5,3.475308,-2.463753,8,4.571429,5,7.619048,2.578752,-0.896556,-0.225357,11,3.40625,3.5,8.313508,'Not Spots'
5,3.266905,-2.056282,7,4.285714,5,5.238095,2.574682,-0.692222,-0.199034,11,3.1875,3,7.96371,'Not Spots'
3,2.688426,-0.805868,5,2.857143,3,2.476191,2.502536,-0.185891,-0.14907,7,2.71875,2.5,5.305444,'Not Spots'
2,2.912808,-0.589021,5,3,4,3,2.839626,-0.073182,-0.142569,8,2.9375,3,5.544355,'Not Spots'
4,2.934522,-0.723526,5,2.857143,3,2.809524,2.875968,-0.058555,-0.138846,7,2.9375,3,4.96371,'Not Spots'
4,2.745696,-1.455557,7,4,4,4.666667,2.377291,-0.368405,-0.130951,7,2.53125,3,4.966734,'Not Spots'
5,2.794618,-1.596967,6,3.285714,4,5.571429,2.398878,-0.39574,-0.109458,7,2.84375,3,5.297379,'Not Spots'
1,2.079374,-0.713308,7,2.714286,2,6.238095,1.951254,-0.12812,-0.090993,7,1.96875,1,3.902218,'Not Spots'
7,2.566036,-1.951702,7,3.285714,4,7.238095,2.039323,-0.526713,-0.110896,7,2.21875,1,5.53125,'Not Spots'
6,2.82861,-2.607833,7,5,6,6,2.084074,-0.744536,-0.107988,7,2.40625,2,5.152218,'Not Spots'
6,2.611089,-1.957328,6,3.428571,4,4.952381,2.100626,-0.510463,-0.074777,7,2.40625,2,5.474798,'Not Spots'
3,1.510738,-0.437985,4,1.714286,1,2.571429,1.536976,0.026238,-0.033325,7,1.40625,1,3.732863,'Not Spots'
4,1.951668,-1.415219,7,3.142857,3,9.142858,1.622991,-0.328677,-0.05481,7,1.75,1,4.580645,'Not Spots'
7,2.243431,-2.108759,7,3.285714,3,6.571429,1.681316,-0.562116,-0.060622,7,2.0625,1,5.544355,'Not Spots'
2,2.081594,-1.440578,7,3.285714,3,7.904762,1.722344,-0.35925,-0.039793,7,1.9375,1,4.447581,'Not Spots'
0,1.095815,-0.166853,4,1,0,3,1.186952,0.091136,0.01503,7,1.09375,0,3.507056,'Not Spots'
3,1.2677,-0.610593,7,1.714286,1,6.571429,1.243865,-0.023834,0.012536,7,1.03125,0,3.19254,'Not Spots'
7,2.558372,-2.113745,8,3.857143,5,10.142858,1.962108,-0.596264,-0.139104,8,2.28125,2,4.853831,'Not Spots'
8,2.96351,-2.209405,8,4,4,7.666667,2.313214,-0.650296,-0.176775,8,2.625,2.5,5.596774,'Not Spots'
3,3.553637,-1.026689,5,3.857143,4,1.47619,2.820133,-0.733503,-0.370309,8,3.818182,4,3.215909,'Not Spots'
5,3.768945,-1.591449,8,4.857143,5,4.476191,2.944829,-0.824116,-0.337498,8,3.666667,3,2.979167,'Not Spots'
7,3.739265,-1.751775,7,4.142857,5,4.142857,3.00206,-0.737204,-0.252467,9,3.69697,3,4.342803,'Not Spots'
5,3.433582,-1.348179,9,4.285714,5,9.571428,3.048156,-0.385426,-0.15003,9,3.393939,3,3.871212,'Not Spots'
1,3.015646,-0.251218,5,3.428571,3,1.952381,3.125959,0.110313,-0.08906,9,3.181818,3,3.903409,'Not Spots'
4,3.449284,-1.177563,8,3.857143,3,3.809524,2.73035,-0.718933,-0.358854,8,3.484848,4,2.195076,'Not Spots'
8,3.749449,-1.740754,8,4.428571,4,3.619048,2.873181,-0.876267,-0.360369,9,3.848485,4,3.445076,'Not Spots'
4,3.746788,-1.807586,9,5,4,8.666667,2.90361,-0.843179,-0.297703,9,3.787879,4,3.859848,'Not Spots'
9,3.474754,-1.971249,9,4.714286,4,4.904762,2.859393,-0.615361,-0.18392,9,3.242424,3,4.439394,'Not Spots'
3,2.847661,-0.542282,9,3,3,8,2.794455,-0.053206,-0.064461,9,2.909091,3,3.710227,'Not Spots'
6,2.902609,-2.081241,7,4.571429,5,2.952381,2.154604,-0.748005,-0.164906,7,2.727273,2,2.079545,'Not Spots'
5,3.006595,-1.806818,6,3.285714,3,2.571429,2.120086,-0.886509,-0.252314,11,3.181818,3,4.090909,'Not Spots'
2,2.705017,-1.152423,11,3.857143,2,11.142858,1.977468,-0.727549,-0.279491,11,2.606061,2,3.933712,'Not Spots'
2,2.206035,-0.499559,2,1.428571,2,0.619048,1.71312,-0.492915,-0.239368,11,2.636364,2,5.113636,'Not Spots'
1,1.694813,-0.678346,6,2.571429,1,5.619048,1.358225,-0.336588,-0.15038,7,1.666667,1,3.104167,'Not Spots'
7,2.70105,-1.832119,7,3.428571,2,4.619048,2.059801,-0.641249,-0.1707,7,2.575758,2,2.501894,'Not Spots'
2,2.91155,-1.560299,7,3.714286,3,3.238095,2.059494,-0.852057,-0.263314,11,3.181818,3,4.090909,'Not Spots'
2,2.718088,-1.007243,5,2.714286,2,1.571429,1.947874,-0.770213,-0.296579,11,2.939394,2,4.371212,'Not Spots'
2,2.370303,-1.031702,6,2.857143,2,2.142857,1.703962,-0.666341,-0.257917,11,2.606061,2,5.308712,'Not Spots'
6,1.89986,-1.499025,7,2.714286,2,7.904762,1.357397,-0.542463,-0.163816,7,1.636364,1,3.113636,'Not Spots'
3,2.211573,-0.752771,7,3,2,4,1.947833,-0.26374,-0.140637,7,2.151515,2,2.382576,'Not Spots'
4,2.469489,-0.964871,4,2.714286,2,0.904762,1.946261,-0.523228,-0.220763,7,2.636364,2,1.863636,'Not Spots'
2,2.400023,-0.667909,4,2.571429,2,0.619048,1.842159,-0.557864,-0.255331,7,2.575758,2,2.001894,'Not Spots'
3,2.171883,-0.943772,7,2.714286,2,3.904762,1.613246,-0.558637,-0.225821,7,2.212121,2,2.734848,'Not Spots'
7,1.769417,-1.490727,7,2.714286,1,7.571429,1.285766,-0.483651,-0.141785,7,1.515152,1,2.507576,'Not Spots'
0,2.069861,-0.604604,4,2.142857,2,2.142857,1.577585,-0.492277,-0.205403,11,2.212121,2,6.547348,'Not Spots'
4,2.468886,-1.803718,11,3.285714,1,16.571428,1.616117,-0.852769,-0.220654,11,2.636364,2,8.051136,'Not Spots'
1,2.136431,-1.062082,6,2.428571,1,4.952381,1.570325,-0.566106,-0.174844,11,2.212121,1,7.734848,'Not Spots'
4,3.277031,-2.182101,11,4.285714,4,11.904762,2.097059,-1.179973,-0.347871,11,3.484848,3,6.132576,'Not Spots'
11,3.821261,-4.153374,11,6,6,9,2.148832,-1.672429,-0.361314,11,3.666667,4,6.854167,'Not Spots'
6,3.313851,-2.738874,11,4.857143,6,13.809524,2.109937,-1.203914,-0.308619,11,3.424242,3,7.001894,'Not Spots'
3,3.532863,-1.568883,7,4,4,2.666667,2.511662,-1.021201,-0.38728,11,3.666667,3,5.541667,'Not Spots'
7,3.995005,-3.183496,11,6,6,6.666667,2.578859,-1.416146,-0.397984,11,4.151515,4,4.632576,'Not Spots'
6,3.645786,-2.253892,7,4.428571,5,4.285714,2.569336,-1.07645,-0.361907,11,3.636364,3,6.051136,'Not Spots'
8,2.568959,-1.832344,8,3.285714,3,5.571429,1.77054,-0.798419,-0.270232,8,2.575758,2,3.314394,'Not Spots'
3,3.058684,-0.18364,5,3,3,1.333333,2.61468,-0.444004,-0.34142,7,2.939394,3,2.996212,'Not Spots'
2,3.493472,-0.58575,6,3.714286,3,1.904762,2.77622,-0.717252,-0.396458,7,3.666667,3,3.229167,'Not Spots'
3,3.666114,-0.874512,7,4.428571,4,4.952381,2.849224,-0.81689,-0.408027,9,3.69697,3,3.467803,'Not Spots'
3,3.441219,-0.643872,6,3.285714,3,5.238095,2.705288,-0.735931,-0.371158,10,3.727273,4,4.079545,'Not Spots'
6,3.849271,-1.029742,6,4.142857,4,2.476191,2.980445,-0.868826,-0.44536,10,3.878788,4,3.859848,'Not Spots'
5,4.106405,-0.565333,6,4.142857,5,2.142857,3.221804,-0.884601,-0.514917,10,4.272727,4,3.454545,'Not Spots'
5,4.440328,-0.833842,7,4.428571,5,2.619048,3.386582,-1.053746,-0.558319,9,4.515152,4,3.570076,'Not Spots'
7,4.579956,-1.526125,9,5.571429,5,4.952381,3.442761,-1.137195,-0.548171,9,4.666667,5,3.979167,'Not Spots'
3,4.100088,-0.18121,7,3.857143,3,3.476191,3.393651,-0.706437,-0.483415,9,4.393939,4,4.371212,'Not Spots'
3,3.686476,0.265922,5,3.285714,3,1.238095,3.279269,-0.407207,-0.399231,7,3.727273,4,2.517045,'Not Spots'
6,4.097514,-1.163509,6,4.285714,4,1.904762,3.135056,-0.962458,-0.452074,10,4.181818,4,4.153409,'Not Spots'
6,4.651769,-1.765906,10,5.857143,6,6.142857,3.42803,-1.223738,-0.539357,10,4.545455,4,4.005682,'Not Spots'
2,4.808694,-0.623996,6,4.857143,5,1.809524,3.68228,-1.126415,-0.611903,10,5.060606,5,4.308712,'Not Spots'
5,4.998019,-0.639862,9,4.571429,5,6.285714,3.847824,-1.150195,-0.644259,11,5.333333,5,4.541667,'Not Spots'
9,5.055923,-1.40679,9,5.714286,5,5.904762,3.893401,-1.162523,-0.618163,9,4.727273,5,3.392045,'Not Spots'
2,4.524397,-0.064706,9,4.571429,4,5.619048,3.824182,-0.700215,-0.539472,10,4.636364,5,4.551136,'Not Spots'
4,4.046988,0.450015,6,3.428571,3,1.952381,3.681211,-0.365777,-0.442851,10,4.121212,4,3.797348,'Not Spots'
3,3.596211,-0.007409,7,3.428571,3,2.952381,3.124157,-0.472053,-0.376595,7,3.636364,3,1.676136,'Not Spots'
4,4.140539,-0.554546,6,4.142857,4,1.142857,3.394952,-0.745587,-0.441593,10,4.30303,4,3.342803,'Not Spots'
4,4.777033,-1.18168,8,5.142857,5,2.142857,3.68597,-1.091063,-0.52986,10,4.878788,5,3.234848,'Not Spots'
5,5.070371,-0.756076,8,4.428571,4,4.619048,3.944684,-1.125687,-0.60451,10,5.454545,5,2.943182,'Not Spots'
2,5.197742,-0.533331,8,5.285714,5,3.238095,4.115665,-1.082077,-0.636068,9,5.454545,6,3.505682,'Not Spots'
5,5.165925,-0.700206,9,5.142857,5,5.809524,4.166529,-0.999396,-0.612133,9,5.272727,5,3.392045,'Not Spots'
3,4.801391,-0.101848,5,4,4,1.333333,4.100144,-0.701247,-0.539827,10,5.090909,5,3.710227,'Not Spots'
4,4.420968,-0.012454,10,4.714286,4,5.904762,3.953563,-0.467405,-0.447727,10,4.363636,4,2.801136,'Not Spots'
