@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
2707,5637.927734,7209.285645,9425732,4690.186523,-947.741211,5525.303223,7393452.5,3930.50415,-1707.423584,-759.682373,4508.600098,9155301,2781.979736,-2855.947998,-1908.206787,-1148.524414,3494.572266,9777284,NotSpot
10213,6450.221191,7727.856934,3013214,5105.564941,-1344.65625,6447.36377,5789303,4113.461426,-2336.759766,-992.103516,4882.757324,10623157,2813.36377,-3636.857422,-2292.201172,-1300.097656,3634.499023,10483640,NotSpot
7520,6754.107422,7089.143066,4385080.5,5580.293945,-1173.813477,7030.848633,8368882.5,4311.023926,-2443.083496,-1269.27002,5359.15332,12800877,2844.476563,-3909.630859,-2735.817383,-1466.547363,3767.668945,11113438,NotSpot
6865,6466.103027,6832.714355,1203962.125,5411.206055,-1054.896973,6586.272949,4024493,4248.496094,-2217.606934,-1162.709961,5219.731934,11492383,2727.383789,-3738.719238,-2683.822266,-1521.112305,3740.069336,12075328,NotSpot
4009,6176.603516,6316.571289,4751428.5,5553.640625,-622.962891,6200.54541,4263377,4471.717285,-1704.88623,-1081.92334,5414.799805,11461079,2878.388916,-3298.2146,-2675.251709,-1593.328369,3948.12085,12513506,NotSpot
12225,6638.407715,7585.428711,9756108,5595.25293,-1043.154785,6554.939453,10956029,4562.258789,-2076.148926,-1032.994141,5404.557617,13004309,3008.016602,-3630.391113,-2587.236328,-1554.242188,4040.833984,12429083,NotSpot
3215,6334.30127,7121,16803022,5456.90332,-877.397949,6742.242188,11871512,4330.798828,-2003.502441,-1126.104492,5273.280762,13455859,2846.231445,-3488.069824,-2610.671875,-1484.567383,3781.736816,11814257,NotSpot
6063,4812.903809,4904,5411959.5,4609.27002,-203.633789,4797.878906,5550674,3962.081787,-850.822021,-647.188232,4507.391602,10264996,2766.015625,-2046.888184,-1843.254395,-1196.066162,3549.72168,10340661,NotSpot
6447,4473.151367,5043.571289,2134100,4208.823242,-264.328125,4295.878906,4124212.5,3797.768555,-675.382813,-411.054688,4110.408691,7978279,2725.74707,-1747.404297,-1483.076172,-1072.021484,3443.634766,9469574,NotSpot
2383,4683.154785,4262,2999765.75,4194.85791,-488.296875,4871.848633,5160908,3589.477783,-1093.677002,-605.380127,4036.782959,8249538.5,2565.876953,-2117.277832,-1628.980957,-1023.60083,3194.672119,8569967,NotSpot
4605,4914.74707,4072.285645,1252844.875,4351.26123,-563.48584,5403.424316,7448936.5,3542.750488,-1371.996582,-808.510742,4202.374512,8447832,2546.026367,-2368.720703,-1805.234863,-996.724121,3112.283447,8158113.5,NotSpot
6885,4904.655762,6172.571289,6558783.5,4134.58252,-770.073242,5202.121094,6460167.5,3529.407471,-1375.248291,-605.175049,3999.829834,7935314,2543.339844,-2361.315918,-1591.242676,-986.067627,3149.266602,8281833,NotSpot
3810,4360.279785,4120.285645,4087297.75,4090.782471,-269.497314,4513.818359,4949436,3564.607422,-795.672363,-526.175049,3952.595703,7841763.5,2558.309082,-1801.970703,-1532.473389,-1006.29834,3173.265869,8340775,NotSpot
5893,4698.052246,4494,4210436.5,4135.010742,-563.041504,4968.303223,8554027,3478.161865,-1219.890381,-656.848877,4028.442627,7980902.5,2440.75415,-2257.298096,-1694.256592,-1037.407715,3074.414795,8707704,NotSpot
6075,5049.645508,5112.285645,3736284,4393.200684,-656.444824,5142.030273,6411255,3685.609375,-1364.036133,-707.591309,4306.795898,8878768,2588.560303,-2461.085205,-1804.640381,-1097.049072,3268.549316,9342173,NotSpot
4212,5014,5988,3575046,4668.254395,-345.745605,4962.757813,7215603,3891.118652,-1122.881348,-777.135742,4600.166016,10753224,2628.013428,-2385.986572,-2040.240967,-1263.105225,3406.233154,10194924,NotSpot
12309,6561.63623,6330.285645,8938047,5393.742676,-1167.893555,6971.515137,14152158,4120.328613,-2441.307617,-1273.414063,5127.96582,13351394,2667.966797,-3893.669434,-2725.775879,-1452.361816,3547.813232,11119913,NotSpot
