@relation segment

@attribute original numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute class {Spots,'Not Spots'}

@data
3,1.021416,8,5.285714,0.175635,11,5.606061,'Not Spots'
9,-0.213971,11,6.714286,0.22219,11,6.363636,'Not Spots'
5,0.34609,9,6,0.175553,10,5.787879,'Not Spots'
5,0.616808,9,7.285714,0.212785,16,7.121212,'Not Spots'
7,0.077773,10,6.285714,0.180933,10,5.636364,'Not Spots'
6,0.497126,10,7.285714,0.197149,12,6.909091,'Not Spots'
5,-0.089505,8,6.285714,0.183567,11,6.242424,'Not Spots'
9,0.247099,12,7,0.215981,13,6.969697,'Not Spots'
8,-0.464425,10,6.571429,0.180954,11,6.424242,'Not Spots'
5,0.297046,10,7,0.280601,13,6.969697,'Not Spots'
6,1.561752,11,6.428571,0.272303,13,7.606061,'Not Spots'
4,0.117373,8,6.571429,0.174576,11,6.212121,'Not Spots'
11,0.77951,11,7.857143,0.38236,11,6.575758,'Not Spots'
6,-0.496628,11,7,0.16116,13,6.454545,'Not Spots'
11,0.988274,11,6.428571,0.403124,11,6.515152,'Not Spots'
6,2.145185,11,7.285714,0.197959,15,7.575758,'Not Spots'
10,1.926064,13,8.714286,-0.2336,24,9.69697,'Not Spots'
9,2.328651,14,10.571428,-0.758089,24,11.69697,'Not Spots'
11,2.133437,19,11.428572,-1.086726,43,13.393939,'Not Spots'
5,0.379657,11,5.857143,0.162334,13,6.757576,'Not Spots'
8,1.756263,17,10.857142,-0.936441,35,12.939394,'Not Spots'
6,3.384253,13,8.571428,-0.62492,30,10.848485,'Not Spots'
9,2.515343,10,7.714286,-0.121204,26,9.060606,'Not Spots'
5,2.26501,9,6.285714,0.296314,14,7,'Not Spots'
7,1.964412,9,5.571429,0.460413,12,6.454545,'Not Spots'
4,0.439981,8,5.714286,0.13983,13,6.545455,'Not Spots'
3,2.005206,7,5.142857,0.393696,12,6.121212,'Not Spots'
3,1.159909,11,5.571429,0.331996,12,6.181818,'Not Spots'
5,0.23575,11,6.285714,0.204138,12,6.666667,'Not Spots'
7,-0.397892,10,6.714286,0.102647,11,6.575758,'Not Spots'
11,0.135431,15,12,-0.27357,21,10.727273,'Not Spots'
11,1.399173,21,10.857142,-0.555298,21,11.393939,'Not Spots'
9,2.554957,21,10.571428,-0.610791,38,11.666667,'Not Spots'
6,2.919899,14,9.714286,-0.366282,27,10.424242,'Not Spots'
8,1.958859,13,8.571428,0.030955,14,8.606061,'Not Spots'
6,1.77792,11,6.857143,0.341586,13,7.212121,'Not Spots'
6,1.773858,7,5.142857,0.433887,15,6.909091,'Not Spots'
6,0.412103,13,8.142858,0.386387,13,7.606061,'Not Spots'
9,1.596933,10,7.571429,0.08185,15,9,'Not Spots'
6,1.714339,9,6.428571,0.32877,13,6.69697,'Not Spots'
5,0.661417,8,6.285714,0.292679,15,7.484848,'Not Spots'
6,0.584011,12,6.285714,0.456551,13,6.363636,'Not Spots'
4,1.346266,9,6.285714,0.32722,13,7.636364,'Not Spots'
8,-0.282,13,7.857143,0.25223,13,7.30303,'Not Spots'
6,-0.185912,12,6.714286,0.336726,12,6.151515,'Not Spots'
12,-0.425196,12,7.285714,0.400724,12,6.424242,'Not Spots'
11,-0.51,11,7.285714,0.274094,13,7.272727,'Not Spots'
7,-1.074867,11,8.571428,0.210063,13,7.030303,'Not Spots'
9,-0.239858,9,6.285714,0.273178,12,5.969697,'Not Spots'
6,0.005311,8,6.428571,0.276534,11,6.727273,'Not Spots'
6,-0.248553,11,6.714286,0.216734,11,6.151515,'Not Spots'
5,1.144656,9,5.714286,0.328216,17,6.575758,'Not Spots'
8,0.487965,8,6,0.298577,9,6.121212,'Not Spots'
9,1.089083,9,5,0.303614,10,5.818182,'Not Spots'
7,-0.188767,9,6.428571,0.25997,13,6.818182,'Not Spots'
2,1.814416,9,5,0.250913,10,5.969697,'Not Spots'
5,1.756628,7,4.857143,0.324138,10,5.69697,'Not Spots'
5,-0.281494,9,6.857143,0.294983,13,6.848485,'Not Spots'
9,-0.903367,13,7.714286,0.200439,13,6.606061,'Not Spots'
7,0.722997,9,5.428571,0.285822,11,6,'Not Spots'
6,0.529312,9,6.857143,0.285526,11,6.30303,'Not Spots'
5,0.757042,9,6.285714,0.324786,12,6.363636,'Not Spots'
8,-0.457889,10,6.714286,0.227753,13,6.69697,'Not Spots'
5,0.149656,9,6,0.270287,11,6.606061,'Not Spots'
9,-0.202758,9,7.285714,0.262278,10,6.333333,'Not Spots'
7,0.418238,9,6.142857,0.256535,11,6.424242,'Not Spots'
4,0.900916,11,6.857143,0.286236,11,6.363636,'Not Spots'
4,1.461422,11,5.857143,0.343704,11,6.363636,'Not Spots'
5,1.565292,6,4.714286,0.380619,13,5.969697,'Not Spots'
4,1.606282,12,5.142857,0.351836,13,5.969697,'Not Spots'
2,1.270496,8,5.428571,0.263875,13,6.272727,'Not Spots'
16,0.860793,16,10.571428,-0.803846,30,12.121212,'Not Spots'
11,-1.324139,27,17.571428,-1.793719,38,16.969696,'Not Spots'
23,-4.809991,27,21.857143,-2.687955,50,22.181818,'Not Spots'
27,-7.354992,32,24,-2.651779,47,22.272728,'Not Spots'
22,-4.731224,32,23,-2.718859,41,21.666666,'Not Spots'
23,-3.032134,27,19.142857,-2.022064,35,18.060606,'Not Spots'
10,0.561207,19,12.428572,-0.870809,28,12.181818,'Not Spots'
19,-1.499907,23,15,-1.026257,27,12.969697,'Not Spots'
10,1.059685,13,9,-0.089201,19,8.606061,'Not Spots'
5,2.061504,10,6.428571,0.313118,14,6.30303,'Not Spots'
7,1.532775,10,6.285714,0.244921,14,7.30303,'Not Spots'
5,0.940482,11,5.714286,0.34095,14,6.575758,'Not Spots'
10,-0.660127,11,6.285714,0.278639,14,6.181818,'Not Spots'
11,-1.190862,11,8.428572,0.279027,11,5.727273,'Not Spots'
7,0.507676,10,5.428571,0.202212,14,5.909091,'Not Spots'
4,1.221319,13,6.571429,0.419809,13,6.787879,'Not Spots'
4,1.62713,13,6.857143,0.307305,13,8.212121,'Not Spots'
7,2.115894,13,7.857143,0.043075,21,9.272727,'Not Spots'
13,0.740024,21,12.285714,-0.345747,23,10.545455,'Not Spots'
21,-0.048294,21,12.285714,-0.690675,28,12.515152,'Not Spots'
10,0.811044,21,13.428572,-0.753928,26,12.515152,'Not Spots'
10,2.940908,11,8.142858,-0.458781,29,11.484848,'Not Spots'
5,3.340466,11,7,0.008108,17,8.666667,'Not Spots'
2,2.91095,10,6,0.36283,15,7.393939,'Not Spots'
4,1.938206,9,5.285714,0.463331,15,6.575758,'Not Spots'
9,0.212345,9,6.142857,0.370721,15,6.151515,'Not Spots'
7,0.071858,11,7.428571,0.550096,13,6.515152,'Not Spots'
6,-0.858734,15,9.285714,0.26605,15,7.151515,'Not Spots'
10,-0.551333,10,6.285714,0.147781,15,7.060606,'Not Spots'
7,-0.112613,8,6.428571,0.528664,12,6.393939,'Not Spots'
10,-1.684376,13,9.285714,0.109924,15,7.818182,'Not Spots'
8,-0.037351,12,7.142857,0.453206,12,6.272727,'Not Spots'
11,-1.30316,11,7.571429,0.148876,13,7.363636,'Not Spots'
7,-0.110863,9,6.285714,0.383631,17,6.363636,'Not Spots'
6,0.336417,11,6.571429,0.22062,11,6.69697,'Not Spots'
9,-1.31594,17,8.428572,0.337499,17,6.757576,'Not Spots'
3,1.105874,9,5.428571,0.252482,13,6.666667,'Not Spots'
4,-0.070951,9,6.714286,0.299144,17,6.393939,'Not Spots'
6,0.614772,9,6.285714,0.362377,17,6.515152,'Not Spots'
5,-0.334534,13,7.714286,0.221237,13,6.454545,'Not Spots'
3,1.866681,9,5.428571,0.346619,11,5.878788,'Not Spots'
13,-1.201958,13,7.428571,0.160758,13,6.242424,'Not Spots'
9,0.231867,11,6.571429,0.269817,11,5.818182,'Not Spots'
8,0.328545,9,5.857143,0.281507,14,6.757576,'Not Spots'
6,0.756087,8,5.285714,0.303554,12,6.575758,'Not Spots'
6,-0.587759,12,7.285714,0.189207,13,6.69697,'Not Spots'
7,-0.969025,11,8.285714,0.207641,14,6.969697,'Not Spots'
7,-0.381968,9,6.428571,0.209936,14,7.151515,'Not Spots'
9,-0.165939,9,7.428571,0.223485,15,6.818182,'Not Spots'
8,0.799175,9,5.857143,0.263816,13,6.787879,'Not Spots'
2,1.847516,8,5.142857,0.319009,12,6.727273,'Not Spots'
4,0.974309,12,6.714286,0.347861,12,6.212121,'Not Spots'
12,0.00742,12,6.285714,0.309669,12,5.878788,'Not Spots'
23,-3.032134,27,19.142857,-2.022064,35,18.060606,'Not Spots'
9,0.54526,9,5,0.217659,13,5.575758,'Not Spots'
3,1.221519,9,5,0.227673,14,5.787879,'Not Spots'
4,1.506061,9,4.857143,0.238549,11,5.090909,'Not Spots'
3,1.330948,11,5.571429,0.221142,13,5.333333,'Not Spots'
11,-0.136426,13,6.714286,0.164246,13,5.69697,'Not Spots'
13,-0.712526,13,7.714286,0.090575,14,6.575758,'Not Spots'
9,-0.563464,9,7.285714,-0.045573,16,7.151515,'Not Spots'
6,-0.227033,14,8.142858,0.044813,14,6.787879,'Not Spots'
6,0.012927,12,8,-0.036559,18,7.393939,'Not Spots'
9,-1.189422,13,7,-0.081992,13,7.030303,'Not Spots'
5,-0.771478,10,7.285714,-0.051952,13,6.484848,'Not Spots'
6,0.363858,9,5.714286,-0.007866,13,6.151515,'Not Spots'
3,0.710681,8,5.714286,0.000674,10,6.090909,'Not Spots'
6,0.268375,10,5.857143,-0.020439,10,6.272727,'Not Spots'
10,-1.487259,10,7.857143,-0.048453,11,6.818182,'Not Spots'
9,-1.108218,10,7,-0.041186,11,6.636364,'Not Spots'
9,-1.070909,11,7.142857,-0.046259,11,6.757576,'Not Spots'
5,0.143257,9,6.571429,-0.016115,11,6.272727,'Not Spots'
