@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_middle_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_middle_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_middle_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_middle_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_middle_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_middle_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_middle_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_middle_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
23,17.291502,6.76632,4.134764,1.84964,0.379158,-0.565254,-1.698066,2.148704,30.725706,-12.750724,5.52488,12.895486,11.101323,6.920394,2.985718,2.664212,2.19583,13,36,22.714285,21,88.238098,8.786237,-8.505265,0.976272,0.923549,0.601129,0.006443,-0.021162,-0.001413,0.003696,0.001073,-2.50095,1.304268,1.252096,0.479357,0.444056,0.471874,0.309082,0.290717,5,39,18.212122,15,111.234848,4.726447,-12.565055,-4.05979,0.067225,0.064501,0.056635,-0.000341,-0.000132,-0,0.000001,0,-0.18836,0.208475,0.0387,0.003505,0.00323,0.022223,0.00881,0.0077,0,39,8.315175,6,64.466682,3.663941,-13.627561,-5.122295,-1.062506,0.004632,0.003535,0.003295,-0.000016,-0,0,0,-0,-0.011462,0.007086,0.000065,0.000011,0.000007,0.000152,0.000095,0.000058,0,39,4.237453,4,16.385271,Spot
36,16.786041,6.167018,5.218601,1.108586,-0.399126,-1.048652,0.628864,8.006866,-3.978188,-12.494205,5.380361,14.533819,8.849138,6.757013,2.992791,2.745871,2.124592,9,36,23.714285,23,80.571426,8.751806,-8.034235,0.963368,0.897095,0.592509,-0.011736,-0.017804,0.001226,0.002414,-0.001719,-2.452973,1.341941,1.303719,0.477538,0.418053,0.473632,0.313758,0.287125,1,38,16.939394,14,112.246216,4.720508,-12.065533,-4.031298,0.066943,0.064105,0.057036,-0.000489,-0.000131,0.000001,0.000001,-0,-0.188085,0.210037,0.039275,0.00349,0.003213,0.022393,0.00887,0.007624,0,39,8.396887,6,64.380928,3.661001,-13.12504,-5.090806,-1.059507,0.0045,0.003566,0.003324,-0.000015,-0,0,0,-0,-0.01139,0.00878,0.000091,0.00001,0.000007,0.000165,0.000096,0.000058,0,39,4.235294,4,16.415449,Spot
20,11.989816,4.222385,1.897468,1.525992,-0.579352,0.12311,1.14993,-3.881735,-17.532982,-4.593861,6.223741,16.515261,6.143284,2.692669,2.757629,2.604113,1.904141,7,36,15,12,105.333336,7.870862,-4.118954,0.791289,0.712792,0.240819,-0.025768,-0.005868,0.002585,-0.001093,-0.001996,-1.7449,1.608804,1.584688,0.360232,0.308466,0.453358,0.295799,0.264276,1,36,11.878788,8,106.109848,4.64707,-7.342745,-3.223791,0.062916,0.058924,0.049817,-0.000593,-0.000108,0.000001,0.000001,-0,-0.171658,0.225472,0.044279,0.003105,0.002654,0.023158,0.008416,0.006983,0,39,8.058366,5,66.320801,3.654163,-8.335653,-4.216699,-0.992908,0.004338,0.003608,0.003122,-0.000014,-0,0,0,-0,-0.011068,0.011194,0.000133,0.000012,0.000007,0.00018,0.000095,0.000061,0,39,4.231516,4,16.352959,Spot
32,16.302355,6.235484,4.630412,0.729751,0.157984,-0.850795,0.661777,6.90539,-24.246305,-11.595648,5.751112,14.953998,9.762338,5.541051,3.003735,2.739798,2.098816,12,36,22.428572,17,102.952377,8.684312,-7.618043,0.958564,0.865815,0.551116,0.002961,-0.016396,-0.001889,0.001698,0.000885,-2.375496,1.374106,1.320992,0.468051,0.400449,0.47381,0.307077,0.28488,3,39,16.333334,13,115.729164,4.733905,-11.568449,-3.950407,0.067039,0.063342,0.057804,-0.000439,-0.000127,-0,0.000001,0,-0.188184,0.207287,0.03835,0.00353,0.003114,0.022334,0.008744,0.007565,0,39,8.276264,6,65.146034,3.666842,-12.635512,-5.017469,-1.067063,0.004611,0.003623,0.003382,-0.000015,-0,0,0,-0,-0.011617,0.005312,0.000044,0.000013,0.000007,0.000137,0.000096,0.000064,0,39,4.264436,4,16.343643,Spot
15,8.941319,3.352717,2.851756,2.370885,0.786001,-0.064556,-1.733792,-1.904893,29.77009,-3.833589,4.662957,7.676045,3.574046,2.930962,1.397067,1.290238,0.986703,2,34,11.285714,9,121.571426,6.055719,-2.885599,0.558689,0.461007,0.078739,0.013719,-0.005653,-0.003648,-0.000151,0.003341,-1.098435,0.930735,0.547195,0.161988,0.111477,0.237462,0.101934,0.077339,0,36,8.848485,6,79.132576,4.186853,-4.754466,-1.868866,0.043074,0.032819,0.023901,0.000067,-0.000061,-0.000001,0,0,-0.099794,0.168797,0.025598,0.001081,0.000523,0.015491,0.00278,0.001591,0,40,6.085603,5,36.211395,3.638329,-5.302989,-2.41739,-0.548524,0.002608,0.002388,0.001496,-0.00001,-0,0,0,0,-0.006492,0.016687,0.000267,0.000005,0.000003,0.000211,0.00006,0.00003,0,40,3.889908,4,10.311848,Spot
34,12.241244,5.712165,4.570381,0.600221,0.643851,-0.941916,-1.311529,16.921848,-13.992379,-10.882767,5.235643,8.158097,6.399115,4.95535,1.52535,1.396963,1.067351,3,34,17.714285,17,115.238098,6.496251,-5.744993,0.600504,0.549465,0.343243,0.013039,-0.013641,-0.002861,0.002379,0.002129,-1.493212,0.902495,0.587984,0.17004,0.137991,0.25044,0.108292,0.083876,2,40,12.363636,9,117.30114,4.193886,-8.047358,-2.302365,0.04327,0.035944,0.029729,0.000138,-0.000069,-0,0,0,-0.108943,0.171396,0.026487,0.001194,0.000695,0.015894,0.00296,0.001849,0,40,6.291829,5,36.910599,3.624505,-8.616739,-2.871747,-0.569382,0.002566,0.002198,0.001388,-0.000009,-0,0,0,0,-0.006152,0.018042,0.000311,0.000004,0.000002,0.000239,0.000058,0.000025,0,40,3.872099,4,10.363222,Spot
22,11.901568,5.515101,4.102365,0.007785,-0.308102,-0.856103,1.093162,1.81213,28.523731,-9.609682,5.437147,9.248321,6.207116,4.254231,1.546943,1.388198,1.061057,8,34,17.428572,10,123.285713,6.445993,-5.455575,0.568271,0.518203,0.380896,0.004114,-0.01355,0.000597,0.002832,-0.001583,-1.467369,0.964549,0.651218,0.160016,0.132497,0.251625,0.108101,0.085238,2,40,11.878788,9,111.609848,4.164543,-7.737025,-2.28145,0.040576,0.038072,0.030784,0.000225,-0.000065,-0,0,0,-0.109432,0.178407,0.028497,0.001173,0.000783,0.016435,0.002981,0.001979,0,40,6.081712,5,37.419079,3.608486,-8.293082,-2.837507,-0.556057,0.0025,0.001956,0.001207,-0.000008,-0,0,0,0,-0.005662,0.019345,0.000357,0.000004,0.000002,0.000266,0.000056,0.00002,0,40,3.856449,3,10.415668,Spot
11,10.070084,3.96497,2.403986,1.563091,-0.359445,0.100573,0.834845,11.193526,-11.404074,-3.124075,5.273062,12.659328,5.412989,2.378778,2.604517,2.117981,1.689824,5,18,10.857142,11,29.142857,6.930136,-3.139948,0.668182,0.563091,0.114373,-0.010005,-0.000483,0.00141,-0.002921,-0.000758,-1.345646,1.466751,1.339169,0.255823,0.200942,0.358881,0.222058,0.199883,1,43,10.151515,7,81.132576,4.400041,-5.670043,-2.530095,0.055841,0.049504,0.038469,-0.000292,-0.000078,0.000001,0,-0,-0.143814,0.246272,0.052242,0.002528,0.001941,0.025845,0.007133,0.004764,0,53,6.929961,4,63.41695,3.598629,-6.471454,-3.331506,-0.801412,0.004754,0.002341,0.002101,0.000007,-0,0,0,-0,-0.009196,0.012184,0.000138,0.000017,0.000005,0.00016,0.000077,0.000032,0,53,4.100378,4,16.336571,Spot
18,12.017795,4.804415,3.552997,0.918937,0.466823,-0.274158,-0.075203,-4.252449,-25.039827,-7.438476,5.269576,10.277159,6.575261,4.758015,2.63008,2.178478,1.729432,7,43,15.857142,11,157.142853,7.140326,-4.877468,0.72158,0.700761,0.150246,0.015568,-0.004233,-0.002187,-0.001405,0.001298,-1.572587,1.373748,1.217525,0.285257,0.263825,0.353421,0.229124,0.208117,3,43,12.454545,10,85.880684,4.406633,-7.611161,-2.733693,0.056832,0.051263,0.037057,-0.000131,-0.000079,-0,0,0,-0.145152,0.243664,0.051167,0.002591,0.002028,0.025442,0.007149,0.004862,0,53,6.996109,5,63.519516,3.602485,-8.41531,-3.537842,-0.804148,0.004719,0.002365,0.002096,0.000007,-0,0,0,-0,-0.00918,0.011222,0.000115,0.000018,0.000005,0.000144,0.000078,0.000029,0,53,4.121964,4,16.33285,Spot
10,10.65126,3.88702,3.142244,1.139817,0.811789,-0.281207,-0.746562,-9.882724,5.942437,-5.889448,4.892807,8.728277,4.770901,4.513915,2.430134,2.06822,1.627971,6,33,13.428572,10,89.285713,6.704629,-3.946631,0.658762,0.639255,0.003673,0.032013,-0.006064,-0.004164,0.001465,0.001917,-1.30169,1.351511,1.174353,0.249392,0.234053,0.332938,0.219523,0.200863,1,43,11.030303,8,84.405304,4.360222,-6.291038,-2.344407,0.054541,0.048894,0.030107,0.000067,-0.000066,-0.000001,0,0,-0.133542,0.245479,0.05164,0.002394,0.001778,0.025081,0.006804,0.004611,0,53,6.774319,5,63.230118,3.60359,-7.04767,-3.101039,-0.756632,0.00461,0.002304,0.002073,0.000007,-0,0,0,-0,-0.008987,0.010842,0.000104,0.000018,0.000005,0.000129,0.00008,0.000027,0,53,4.109552,4,16.289827,Spot
