@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spot,NotSpot}

@data
3,6.131001,2.005287,1.89104,1.026733,0.634642,0.347252,-0.980297,-11.671665,-40.48415,-1.14098,3.522284,5.893978,1.551825,1.231077,0.723331,2,21,6.571429,4,45.285713,4.441217,-1.689784,0.422673,0.34882,0.003718,0.007103,-0.003474,-0.003179,-0.000195,0.002547,-0.775211,1.038737,0.732778,0.082661,0.241613,0.101197,1,25,6.757576,5,35.064392,2.676993,-3.454008,-1.764224,0.050492,0.041731,0.026885,-0.000543,-0.000061,0,0,0,-0.119108,0.263964,0.063851,0.001992,0.038094,0.006785,0,35,4.544747,3,24.530216,Spot
21,9.814832,4.021125,2.996574,0.578707,0.34393,-0.810075,-0.238697,21.612591,11.012209,-7.596406,3.676326,5.796095,2.980292,1.293517,0.833513,3,25,13.428572,15,70.619049,5.332695,-4.482137,0.594647,0.448582,0.218402,0.000627,-0.008743,-0.001901,0.00116,0.001173,-1.261631,0.757658,0.465063,0.12554,0.224096,0.113722,1,26,9.606061,8,52.308712,2.904268,-6.910564,-2.428427,0.055854,0.048672,0.04216,-0.00051,-0.000081,0,0,0,-0.146686,0.229745,0.050906,0.002308,0.035579,0.007767,0,35,5.097276,4,23.924093,Spot
25,11.235578,5.093317,3.821753,1.430826,-0.536898,-0.469656,1.415616,-15.225691,22.472559,-10.345896,2.299219,4.799062,3.194869,1.261223,0.876498,10,25,18.142857,19,30.809525,5.757109,-5.478468,0.601846,0.471544,0.331549,-0.011563,-0.009796,0.001542,0.001473,-0.001718,-1.404939,0.438485,0.211568,0.160435,0.196165,0.118049,3,35,11.484848,9,62.132576,3.086014,-8.149563,-2.671095,0.060378,0.052875,0.050359,-0.000461,-0.000087,0,0,-0,-0.163612,0.185614,0.036044,0.002537,0.031769,0.008852,0,35,5.501945,4,22.204098,Spot
10,8.802515,2.780843,1.551957,0.301826,-0.726328,0.070733,1.289771,-0.328251,-45.79248,-4.030974,3.742482,5.101409,2.256882,1.142172,0.843389,4,25,10.142858,8,50.476189,5.62021,-3.182305,0.436396,0.392007,0.278937,-0.020461,-0.00564,0.003779,0.000442,-0.002419,-1.107339,0.559354,0.203758,0.10872,0.164471,0.112505,1,26,9.30303,7,48.280304,3.211288,-5.591227,-2.408921,0.060633,0.054449,0.053688,-0.0004,-0.000077,0,0,-0,-0.16877,0.143202,0.023845,0.002743,0.027631,0.009889,0,35,5.583658,4,22.064262,Spot
15,7.695877,3.008533,2.43998,0.679667,0.202379,-0.38472,0.084127,-1.281135,-0.117761,-4.768846,3.300731,3.67853,2.189738,1.089216,0.736432,1,23,10.857142,9,79.476189,4.943246,-2.752631,0.493201,0.344976,0.023161,0.002441,-0.003169,-0.000681,0.000803,-0.00021,-0.861339,0.722711,0.351222,0.114642,0.193836,0.103555,1,25,7.363636,4,43.363636,3.002264,-4.693613,-1.940982,0.055971,0.048903,0.035196,-0.000253,-0.000061,0,0,0,-0.14007,0.205656,0.041655,0.002197,0.03152,0.007272,0,35,4.918288,4,20.512829,Spot
23,8.489275,3.332459,2.899845,0.228605,-0.475161,-0.783236,1.766378,22.231436,-66.179855,-6.460909,3.354083,3.62521,2.241012,1.060687,0.775072,3,25,12.142858,8,80.809525,5.24789,-3.241385,0.451169,0.355994,0.103232,-0.00899,-0.001562,0.001777,0.000025,-0.001944,-0.910395,0.63244,0.220821,0.128229,0.168608,0.106707,1,25,8.030303,6,46.655304,3.179146,-5.310129,-2.068744,0.059616,0.051983,0.042762,-0.000237,-0.000062,-0,0,-0,-0.154362,0.156782,0.026877,0.002373,0.027097,0.008118,0,35,5.159533,4,20.033043,Spot
8,6.778828,1.977713,1.515429,1.192228,-0.443341,-0.117295,-0.934776,-4.098829,57.533535,-2.300913,3.309274,3.954659,1.347779,0.962245,0.748516,1,23,8.142858,6,51.809525,5.127976,-1.650851,0.323794,0.300531,0.041876,-0.01606,0.000921,0.00252,-0.000851,-0.00111,-0.666201,0.664999,0.230744,0.073638,0.14219,0.100421,1,25,6.727273,5,35.579544,3.301517,-3.477311,-1.82646,0.05865,0.052114,0.047381,-0.000238,-0.000052,-0,0,-0,-0.158144,0.106895,0.014974,0.002423,0.02235,0.009118,0,35,5.171206,4,19.501823,Spot
5,3.500907,1.785901,1.184439,0.457403,-0.174229,0.009011,0.869222,7.582808,-22.465088,0.144059,2.75351,4.421411,0.732539,0.872097,0.517161,0,10,2.571429,1,13.619047,2.880149,-0.620758,0.26474,0.245627,0.084443,0.009714,-0.002341,0.000353,0.000364,-0.001277,-0.425924,0.983944,0.627915,0.046719,0.15754,0.062579,0,19,3.818182,2,22.46591,1.888146,-1.612761,-0.992002,0.041199,0.035551,0.018852,-0.000122,-0.000056,-0.000001,0,0,-0.057898,0.198155,0.034664,0.001479,0.020502,0.00656,0,24,3.046693,2,18.068123,Spot
0,4.798671,1.45467,1.349473,0.742876,0.085049,0.552568,0.870477,-13.63201,-18.078474,-0.848072,3.575233,5.491361,1.259217,0.945645,0.592827,0,15,4.857143,3,29.809525,3.261249,-1.537423,0.352569,0.306966,0.01137,0.011904,-0.00296,-0.000905,-0.00043,-0.000305,-0.670906,0.998085,0.628249,0.073726,0.15756,0.072092,0,19,5.272727,3,30.267046,1.937573,-2.861098,-1.323675,0.044147,0.040234,0.017167,-0.000104,-0.000068,-0,0,0,-0.067214,0.19049,0.031934,0.001668,0.019239,0.006969,0,24,3.291829,2,19.785597,Spot
3,4.925148,2.050164,1.356248,0.432829,0.29569,0.279179,-0.849264,0.437812,20.959585,-1.126745,3.586874,5.509232,1.617086,0.948934,0.625136,0,14,4.857143,3,23.809525,3.320666,-1.604481,0.385086,0.298622,0.016841,0.006895,-0.001866,-0.001489,-0.000833,0.001113,-0.700548,0.985609,0.610651,0.083795,0.154932,0.075041,0,21,5.515152,3,35.195076,1.94522,-2.979927,-1.375446,0.04543,0.04043,0.016804,-0.000096,-0.000069,-0,0,0,-0.069056,0.187872,0.031019,0.001775,0.018691,0.007154,0,24,3.412451,2,19.76672,Spot
