@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute class {Spots,'No Spots'}

@data
3,4.091254,-1.327001,14,4.142857,3,20.476191,2.946868,-1.144386,-0.470822,15,4.515152,4,13.257576,Spots
6,4.501452,-2.918537,15,6.285714,6,23.238094,2.921793,-1.579659,-0.497353,15,4.727273,3,15.142045,Spots
15,5.881384,-6.018972,15,9.571428,9,20.619047,3.177867,-2.703517,-0.656059,15,5.636364,5,16.426136,Spots
14,5.708246,-5.187645,15,8.142858,6,31.809525,3.201768,-2.506478,-0.64591,15,5.666667,5,15.854167,Spots
2,4.217472,-1.671047,14,5.142857,4,20.809525,3.007633,-1.209839,-0.476654,15,4.545455,4,14.818182,Spots
10,4.64189,-2.769964,13,5.285714,3,21.238094,3.005645,-1.636245,-0.538311,15,4.848485,3,15.570076,Spots
13,6.219186,-6.389284,15,10.428572,10,11.285714,3.255725,-2.963461,-0.698781,15,6.030303,6,18.030304,Spots
13,6.132979,-6.000641,14,8.857142,11,27.142857,3.268609,-2.864371,-0.681589,15,6.393939,6,15.808712,Spots
7,4.618404,-2.993977,13,6.142857,7,14.142858,3.061926,-1.556478,-0.498629,14,4.606061,4,14.871212,Spots
7,4.89277,-2.864679,13,5.428571,3,22.285715,3.118188,-1.774582,-0.559888,15,5.181818,4,17.34091,Spots
2,4.843477,-2.662068,13,6,5,17,3.124584,-1.718894,-0.541211,14,5.393939,5,15.621212,Spots
6,4.898463,-1.470956,20,6.285714,5,40.904762,4.873576,-0.024887,-0.166351,20,4.5,5,17.161291,'No Spots'
6,4.767098,-1.445492,7,5,6,5.333333,4.669369,-0.09773,-0.146918,20,4.5,5,18.129032,'No Spots'
6,4.33834,-1.132437,8,4.428571,6,9.619047,4.415366,0.077026,-0.092941,11,4.09375,4.5,10.539314,'No Spots'
3,4.846425,-1.094202,20,6,4,42.666668,4.848151,0.001726,-0.210478,20,4.625,5,18.048388,'No Spots'
20,5.564524,-3.978834,20,7,5,42,4.72284,-0.841683,-0.243027,20,4.625,5,18.435484,'No Spots'
5,5.263744,-2.973201,20,7.142857,6,40.476189,4.489895,-0.773849,-0.223175,20,5.125,5,20.048388,'No Spots'
3,4.399006,-1.487081,11,5.714286,6,13.238095,4.173029,-0.225977,-0.144915,20,4.65625,5,20.10383,'No Spots'
6,3.714855,-1.079314,8,3.857143,4,7.809524,3.845689,0.130833,-0.056356,11,3.59375,4,9.926412,'No Spots'
7,4.921384,-1.820806,10,5.285714,5,10.238095,4.546126,-0.375258,-0.238662,20,4.5625,5,17.995968,'No Spots'
10,5.479284,-3.970091,20,8.714286,7,35.904762,4.414031,-1.065253,-0.271536,20,4.875,5,19.854839,'No Spots'
7,5.13168,-3.310726,10,6.857143,8,11.809524,4.159647,-0.972034,-0.244741,20,5.0625,5,20.254032,'No Spots'
9,4.103429,-1.668979,9,4.285714,3,8.904762,3.803433,-0.299995,-0.151257,11,3.75,3,12.129032,'No Spots'
5,3.22122,-0.691484,9,3.428571,2,11.285714,3.422829,0.201609,-0.041579,11,2.96875,3,8.482862,'No Spots'
5,4.426768,-1.505831,9,4.857143,5,10.809524,4.085667,-0.341101,-0.20658,10,4.375,5,11.854838,'No Spots'
7,4.633659,-2.539792,10,6.285714,7,10.571428,3.945028,-0.688631,-0.229088,20,4.78125,5,19.466734,'No Spots'
9,4.254278,-2.17204,9,4.714286,4,9.571428,3.6862,-0.568078,-0.198621,10,3.96875,4,11.257056,'No Spots'
3,3.322713,-0.810529,9,4.142857,3,13.476191,3.325552,0.002838,-0.107591,9,3,3,7.741935,'No Spots'
2,2.540205,-0.133341,5,2.714286,3,2.238095,2.936306,0.396102,-0.000511,9,2.5,2,6.129032,'No Spots'
7,3.712805,-1.931573,8,5.285714,7,8.238095,3.375228,-0.337577,-0.141445,10,3,1.5,9.419354,'No Spots'
3,3.327428,-1.11892,9,3.714286,3,10.571428,3.133462,-0.193965,-0.119738,9,3.28125,3,7.69254,'No Spots'
1,2.622833,-0.260663,4,2.571429,3,2.285714,2.801185,0.178352,-0.047286,9,2.6875,2.5,6.221774,'No Spots'
10,4.233329,-3.3406,15,6.142857,5,24.476191,3.253133,-0.980196,-0.216456,15,4.03125,4,16.289314,'No Spots'
12,4.741128,-3.331089,15,6,4,29.666666,3.864148,-0.87698,-0.233587,15,4.46875,4,14.644154,'No Spots'
15,4.521144,-4.326961,15,7.285714,6,27.571428,3.364942,-1.156202,-0.215867,15,3.6875,4,14.092742,'No Spots'
4,2.980386,-1.587894,15,4.285714,3,24.238094,2.678738,-0.301648,-0.092665,15,2.90625,2,14.990928,'No Spots'
2,4.242548,-1.907876,12,5.571429,6,16.619047,3.834234,-0.408314,-0.18547,15,4,4,13.548388,'No Spots'
4,3.949793,-2.180338,15,5.571429,4,26.619047,3.393013,-0.55678,-0.183972,15,3.9375,4,15.608871,'No Spots'
4,2.751191,-0.60493,4,2.142857,2,3.476191,2.755317,0.004127,-0.085396,15,2.5625,2,10.96371,'No Spots'
4,3.432184,-0.993273,6,3.714286,4,4.571429,3.370997,-0.061186,-0.135781,15,3.40625,4,11.926412,'No Spots'
10,5.545179,-1.569669,10,5.285714,4,5.571429,4.876839,-0.66834,-0.384543,12,5.515152,5,7.257576,'No Spots'
4,5.408647,-0.995395,10,5.571429,4,9.952381,4.854854,-0.553793,-0.407699,12,6.090909,5,8.585227,'No Spots'
5,5.277785,-0.668662,5,4.714286,5,0.238095,4.773665,-0.504119,-0.431113,11,5.545455,5,6.505682,'No Spots'
5,5.32998,-1.034588,8,5,5,3.666667,4.624468,-0.705512,-0.476017,12,5.909091,5,6.210227,'No Spots'
9,5.578501,-1.701768,9,5.857143,6,3.142857,4.89889,-0.679611,-0.37436,12,5.575758,5,6.001894,'No Spots'
4,5.914365,-1.860079,12,7.142857,8,12.142858,4.957541,-0.956824,-0.467702,12,6.151515,6,8.382576,'No Spots'
4,5.97122,-1.40801,12,6,4,9.333333,4.954153,-1.017067,-0.530347,15,6.424242,6,10.626894,'No Spots'
4,5.896642,-1.512002,11,6.571429,6,6.619048,4.852118,-1.044524,-0.557569,12,5.909091,5,7.335227,'No Spots'
8,5.788588,-2.101769,12,6.714286,6,7.238095,4.635442,-1.153146,-0.564101,12,5.909091,5,7.147727,'No Spots'
7,5.546665,-2.124419,9,5.571429,6,6.619048,4.292078,-1.254587,-0.555277,12,5.606061,5,6.433712,'No Spots'
7,5.080726,-0.745194,7,5.285714,5,2.238095,4.81134,-0.269385,-0.296763,11,4.969697,5,5.155303,'No Spots'
5,5.479745,-1.046527,9,5.428571,5,3.952381,4.865973,-0.613772,-0.399158,12,5.636364,5,8.488636,'No Spots'
3,6.084793,-1.99085,12,7.285714,6,13.904762,4.927683,-1.157109,-0.521687,15,6.363636,6,10.926136,'No Spots'
12,6.508422,-2.995768,15,7.142857,6,20.809525,4.921851,-1.586572,-0.611283,15,7,7,11.625,'No Spots'
6,6.341858,-2.783904,12,7.714286,6,10.904762,4.786121,-1.555737,-0.633272,15,6.484848,6,10.695076,'No Spots'
12,5.781036,-2.349826,12,6.428571,6,10.285714,4.496819,-1.284217,-0.593901,12,5.787879,6,8.047348,'No Spots'
3,5.151031,-1.677786,12,5.714286,4,9.571428,4.060441,-1.09059,-0.517197,12,5.393939,5,7.621212,'No Spots'
4,4.557473,-2.145149,10,6.142857,4,11.142858,3.500256,-1.057218,-0.407327,12,4.848485,4,10.257576,'No Spots'
5,5.084587,-1.068563,8,5.857143,6,2.476191,4.716538,-0.368049,-0.305828,12,5.424242,6,5.126894,'No Spots'
4,5.264078,-0.773906,12,5.142857,5,10.476191,4.719077,-0.545001,-0.389249,15,5.909091,6,8.210227,'No Spots'
12,6.034808,-2.88566,15,7.285714,7,23.238094,4.747072,-1.287735,-0.512481,15,5.787879,5,11.422348,'No Spots'
15,6.668642,-4.745648,15,9.857142,11,15.476191,4.715727,-1.952915,-0.610874,15,6.515152,7,9.882576,'No Spots'
9,6.322556,-3.772571,15,8.571428,8,8.952381,4.543738,-1.778817,-0.626009,15,6.151515,6,12.007576,'No Spots'
8,5.309442,-1.890575,12,6.285714,6,12.904762,4.19942,-1.110022,-0.553044,15,5.636364,5,9.613636,'No Spots'
4,4.419362,-1.069937,10,5,4,9.333333,3.703262,-0.7161,-0.430222,12,4.484848,4,7.695076,'No Spots'
10,3.819742,-1.943942,10,4.285714,4,8.238095,3.106425,-0.713316,-0.287889,10,3.757576,3,6.626894,'No Spots'
4,4.886035,-0.878967,7,5,5,2.666667,4.535149,-0.350886,-0.307553,8,4.969697,5,3.905303,'No Spots'
2,4.849724,-0.575793,8,5.142857,5,4.142857,4.452959,-0.396765,-0.347329,12,5.030303,5,6.780303,'No Spots'
