@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spot,NotSpot}

@data
26,36.482578,14.996495,11.331189,7.528536,-0.835959,2.265352,4.598747,-60.129044,-70.374748,-18.799149,24.365801,165.688171,71.881203,20.959776,17.50749,1778.142822,21.292578,-15.190001,1.952211,1.790178,0.745218,-0.01188,-0.043799,0.002151,0.003911,-0.002722,-4.487607,3.14788,5.273045,1.87111,1.429509,1.21731,1948.590942,13.620039,-22.862539,-7.672539,0.187909,0.131482,0.084599,0.003617,-0.000313,0,0.000001,-0,-0.403991,0.159625,0.045023,0.02116,0.17262,0.037203,510.699402,Spot
63,42.555649,18.265158,13.370485,1.60928,-1.547505,-2.337006,5.49214,43.863552,-115.843132,-30.026363,24.344467,160.22374,87.761269,21.589811,17.813711,1506,22.292297,-20.263351,2.226812,1.9235,1.292459,-0.038222,-0.06274,0.005319,0.010241,-0.004073,-5.442772,2.8022,4.786492,2.304732,1.468267,1.287685,2031.022705,13.585467,-28.970181,-8.70683,0.180667,0.133401,0.087631,0.001865,-0.000367,0.000001,0.000002,-0,-0.401699,0.186628,0.053102,0.018391,0.158722,0.035308,504.04892,Spot
10,23.094223,14.854097,6.355976,2.68618,1.430802,4.453844,-4.236764,-8.156547,20.769691,5.811941,16.597507,140.356079,36.774494,19.534229,15.77171,117.666664,19.215643,-3.87858,1.543552,1.242432,0.050304,0.020111,0.001735,-0.005572,-0.01095,0.006042,-2.836288,3.68214,7.136317,1.370493,1.431451,1.100708,1077.876953,13.375191,-9.719032,-5.840452,0.168944,0.093773,0.087585,0.001852,-0.000273,0,0.000001,0,-0.350303,0.280987,0.074179,0.022375,0.151193,0.038567,515.084839,Spot
39,45.396263,18.930897,13.289847,1.675754,1.530522,1.798985,-8.927783,-68.783264,216.539688,-33.8965,25.428764,178.916885,92.925957,22.29213,18.493464,3285.571533,22.520521,-22.875742,2.224189,1.992303,1.548486,0.006516,-0.067515,-0.003804,0.010412,0.004836,-5.764978,2.802613,5.190138,2.255433,1.524114,1.255707,2166.876953,13.586481,-31.809782,-8.93404,0.180453,0.127429,0.098369,0.002043,-0.000376,0.000001,0.000002,-0,-0.406252,0.180189,0.047306,0.021023,0.156941,0.036395,509.889648,Spot
179,62.688694,33.429741,28.633186,20.994076,-0.748227,-9.280498,4.973001,68.380196,-134.645752,-83.057007,10.09547,160.703506,133.600479,23.427975,19.598478,2396.476074,24.096703,-38.591991,2.723238,2.463059,2.122861,-0.014428,-0.108342,0.001357,0.026959,-0.002459,-7.309158,1.056067,3.208966,2.837272,1.554062,1.320798,1847.653442,13.672395,-49.0163,-10.424308,0.185946,0.143251,0.100887,0.002333,-0.000418,0.000001,0.000002,-0,-0.430084,0.094325,0.038056,0.015801,0.159577,0.035657,509.066193,Spot
124,52.129406,23.365776,20.448179,12.278646,-1.768281,-5.914596,8.305661,32.688629,-116.069443,-56.092598,23.996557,181.330078,104.485184,22.671217,18.777784,3336.952393,23.100458,-29.028948,2.274768,2.120678,1.902087,-0.02694,-0.084641,0.004451,0.01818,-0.005741,-6.297534,2.406635,4.590463,2.334175,1.524846,1.281228,2189.984863,13.616955,-38.512451,-9.483503,0.184496,0.135032,0.096128,0.00266,-0.000388,0.000001,0.000002,-0,-0.415656,0.154817,0.041838,0.02259,0.158798,0.036814,506.697113,Spot
9,20.260454,14.541545,5.557002,2.716516,-0.15671,2.40214,-4.973141,-36.988991,159.500854,6.268027,13.797416,121.441307,31.652163,18.527109,15.363894,110.952377,18.326977,-1.933477,1.418446,1.084043,0.313452,-0.031123,0.000538,0.001163,-0.005143,0.000843,-2.189036,3.61929,7.037379,1.20209,1.369927,1.037978,634.820068,13.317719,-6.942735,-5.009257,0.164403,0.099834,0.069932,0.00184,-0.000236,0.000003,0.000001,-0,-0.33417,0.284997,0.072545,0.022279,0.147862,0.037099,517.353394,Spot
38,37.469883,16.755611,10.997183,6.33782,-1.174271,-0.835138,3.798317,9.901061,-75.601616,-21.414974,24.51195,168.748672,83.00489,21.126698,18.024693,1621.619019,21.277271,-16.192612,2.070838,1.65133,0.941522,-0.035968,-0.046332,0.004319,0.005959,-0.003353,-4.66369,3.296878,5.920191,2.057466,1.45365,1.186085,1967.814453,13.520785,-23.949097,-7.756486,0.176166,0.125171,0.087088,0.002254,-0.00033,0.000003,0.000001,-0,-0.388426,0.200494,0.04599,0.022709,0.153766,0.035131,513.111267,Spot
130,50.551876,25.812037,19.86327,9.387276,-1.663374,-5.517132,8.692089,56.586426,-174.083466,-55.062584,23.577919,163.490204,122.8974,22.233925,19.061573,3469.285645,22.687311,-27.864565,2.425032,1.957951,1.589429,-0.026489,-0.074163,0.004045,0.014297,-0.00479,-5.972413,2.609762,4.407565,2.698243,1.480715,1.245421,2117.318115,13.601997,-36.949879,-9.085314,0.182015,0.139213,0.090829,0.00282,-0.00037,0.000002,0.000002,-0,-0.412057,0.139871,0.034763,0.017404,0.156763,0.034814,511.989166,Spot
65,42.069809,18.413446,17.068424,2.109872,0.346261,-1.151793,-5.585672,-39.435379,177.405518,-33.371998,25.681383,176.020752,88.422531,21.584459,18.184961,2453.952393,21.802382,-20.267427,2.137746,1.835365,1.129489,-0.002329,-0.058013,-0.000636,0.009158,0.000157,-5.1026,3.085694,5.347802,2.164861,1.458298,1.202087,2219.905273,13.545398,-28.52441,-8.256984,0.181085,0.132136,0.085756,0.003442,-0.000345,0.000001,0.000002,-0,-0.398977,0.1846,0.039666,0.02715,0.156529,0.036717,510.399506,Spot
18,22.616491,14.136925,7.839208,5.367189,-2.119822,-1.228518,6.106946,37.426331,-115.66069,0.930528,15.967015,123.026749,40.313915,18.150286,16.116882,127.285713,18.65451,-3.961981,1.521933,1.190518,0.286033,-0.064061,-0.003894,0.008696,-0.002982,-0.007054,-2.426417,3.459118,6.288269,1.354625,1.289559,1.049832,730.382568,13.36581,-9.250681,-5.2887,0.167072,0.117029,0.061226,0.002439,-0.000233,0.000004,0.000001,-0,-0.345326,0.24378,0.054169,0.022334,0.148139,0.032557,511.7258,Spot
30,28.265875,12.571862,11.378161,9.406805,-0.67727,3.537029,-3.592877,-45.096371,174.341476,-8.213104,20.038218,141.194336,56.039917,19.118643,17.020252,1895.285767,19.711893,-8.553982,1.765054,1.425452,0.059055,-0.028072,-0.007039,0.003084,-0.008204,-0.000733,-3.249561,3.382907,5.775685,1.723437,1.301905,1.108373,1483.996216,13.439757,-14.826118,-6.272136,0.173528,0.128621,0.065489,0.003233,-0.000266,0.000002,0.000001,-0,-0.367638,0.208774,0.041082,0.024253,0.151497,0.032482,510.942261,Spot
44,21.634699,8.230604,5.859112,0.784502,0.978418,-1.983033,-4.651814,26.881353,14.48852,-14.874218,6.140613,15.281011,11.77556,3.944857,2.264166,291.666656,13.8038,-7.830899,0.875832,0.660484,0.419748,0.00515,-0.02091,-0.002289,0.003958,0.00282,-1.956064,0.699742,0.471181,0.304866,0.732179,0.171292,234.933716,10.833138,-10.80156,-2.970661,0.082918,0.051083,0.028353,0.000967,-0.000085,-0,0.000001,0,-0.162354,0.356552,0.129147,0.002172,0.110479,0.006726,73.404518,Spot
11,15.488249,3.920916,3.789413,1.381216,1.070791,0.998841,1.063071,-10.352574,-38.398323,-1.512719,5.931829,13.216865,5.891308,3.613089,2.030831,166.666672,12.928307,-2.559942,0.660633,0.468682,0.060778,0.02134,-0.006572,-0.005057,-0.001035,0.004608,-1.190093,1.047336,0.648135,0.242759,0.715802,0.150442,126.392044,10.790145,-4.698104,-2.138162,0.083023,0.044524,0.021921,0.001137,-0.000071,-0,0,0,-0.149468,0.368438,0.136123,0.00167,0.112067,0.006105,73.911263,Spot
44,21.02306,7.818853,4.782463,0.549985,-0.024503,-1.450912,0.434943,36.658634,-0.810443,-13.151301,6.041527,13.904585,11.76514,3.925153,2.237674,362.952393,13.670834,-7.352226,0.84784,0.674042,0.399683,0.005028,-0.018515,-0.000493,0.002524,-0.000511,-1.921564,0.808954,0.452436,0.373937,0.713828,0.176892,183.320068,10.784074,-10.238986,-2.88676,0.079048,0.048864,0.027689,0.000799,-0.000068,-0.000001,0.000001,0,-0.1556,0.36133,0.132119,0.001979,0.112612,0.006115,74.026329,Spot
49,20.651104,7.427002,6.502257,0.835036,1.673796,-2.319082,-4.018436,4.983811,100.50042,-14.764296,5.200141,12.818027,9.744932,3.819394,2.148284,216.904755,13.477768,-7.173336,0.797541,0.67867,0.270245,0.04024,-0.018776,-0.008363,0.004552,0.007373,-1.746455,0.851488,0.49821,0.292051,0.714201,0.163278,186.375,10.799658,-9.851446,-2.67811,0.080785,0.049785,0.023701,0.001092,-0.000067,-0.000001,0.000001,0,-0.154272,0.362321,0.132478,0.002051,0.11167,0.00633,74.470695,Spot
18,15.886078,4.300658,2.937761,2.39066,1.39774,0.286049,0.322124,-17.666035,-92.111839,-4.847759,5.232408,10.780178,5.416448,3.513936,1.916992,186.571426,12.705725,-3.180353,0.58724,0.523854,0.024984,0.05372,-0.008606,-0.009095,0.001579,0.006459,-1.08611,1.033923,0.635191,0.201653,0.698484,0.142788,113.734848,10.769581,-5.116497,-1.936144,0.081186,0.045575,0.01652,0.001335,-0.000052,-0.000001,0,0,-0.143281,0.370387,0.137121,0.001734,0.112277,0.005977,74.345146,Spot
10,13.183346,2.831182,1.935222,1.416822,0.795368,-0.259479,-3.321784,16.025707,106.277237,-0.520862,4.30404,8.334214,2.718719,3.254411,1.66524,25.142857,12.091167,-1.092178,0.453297,0.388012,0.205097,0.058948,-0.005268,-0.006241,0.001893,0.002206,-0.636212,0.993706,0.599044,0.156362,0.668784,0.126164,69.11364,10.718264,-2.465082,-1.372904,0.078495,0.043123,0.008539,0.001442,-0.000025,-0.000002,0,0,-0.130157,0.376365,0.140668,0.001564,0.113576,0.005508,64.043442,Spot
12,13.839506,4.226899,2.616424,1.360866,0.03509,-0.168949,-2.445747,19.962341,41.327915,0.249609,4.235382,9.089885,3.572092,2.610222,1.554895,13.809524,12.518826,-1.32068,0.486654,0.408028,0.005008,0.00716,-0.004284,0.00209,0.000417,-0.001744,-0.89969,0.938049,0.56747,0.162792,0.671961,0.096548,49.626892,10.787007,-3.052499,-1.731819,0.072761,0.028413,0.018059,0.001306,-0.000064,-0.000001,0,0,-0.119233,0.442186,0.190602,0.000612,0.14499,0.001535,62.015656,Spot
19,18.716949,5.69936,3.751937,0.9111,-0.482483,-0.393534,3.298201,7.694228,-58.932014,-8.540197,6.665169,11.239166,7.837162,2.724669,1.712099,111.809525,13.239058,-5.477891,0.66047,0.516634,0.378516,0.008195,-0.014989,0.002098,0.003235,-0.00247,-1.555619,0.796571,0.541024,0.21361,0.693154,0.106778,301.755676,10.774781,-7.942168,-2.464277,0.07502,0.030907,0.025709,0.001155,-0.000091,-0,0.000001,0,-0.131636,0.443951,0.192123,0.000702,0.145486,0.001543,62.433731,Spot
14,13.606239,3.639569,2.716213,1.082439,1.104129,0.172107,-1.62017,-23.48262,-37.647263,-0.159083,4.991651,10.687511,3.101534,2.626086,1.586712,90.952377,12.410367,-1.195872,0.48439,0.357833,0.00233,0.02769,-0.002673,-0.002655,0.000945,0.002675,-0.839893,0.985532,0.58688,0.174499,0.66792,0.09905,91.590912,10.804579,-2.801661,-1.605788,0.072316,0.023435,0.019504,0.001259,-0.000056,-0.000002,0,0,-0.115254,0.439623,0.188705,0.000424,0.14427,0.001412,61.255409,Spot
35,19.199341,6.437551,4.584219,0.003182,1.297143,-1.610544,-6.194579,6.685073,88.609108,-11.018589,6.205745,12.610214,6.717494,2.745051,1.739001,171.238098,13.164313,-6.035028,0.653462,0.529205,0.372628,0.024466,-0.016922,-0.002966,0.00503,0.003157,-1.555295,0.836269,0.530318,0.240485,0.687327,0.10847,305.335236,10.793603,-8.405738,-2.37071,0.074651,0.027077,0.025545,0.001047,-0.000082,-0.000001,0,0,-0.127272,0.440001,0.189167,0.000568,0.144434,0.001481,62.567909,Spot
50,21.604904,8.030383,7.229331,1.040671,-0.356049,-1.808136,2.265444,41.219311,-28.239378,-16.300385,4.627774,10.83459,8.709067,2.777189,1.759054,244.666672,13.453206,-8.151698,0.737934,0.661274,0.45764,0.010752,-0.021275,-0.000865,0.004248,-0.00082,-1.856848,0.636888,0.475339,0.245741,0.693523,0.110525,296.193176,10.755789,-10.849115,-2.697417,0.075659,0.029428,0.026859,0.000749,-0.000095,0,0.000001,0,-0.131947,0.441761,0.190496,0.000695,0.144614,0.001473,64.929352,Spot
17,25.655869,8.000289,7.570912,2.652987,0.411877,0.733197,-5.028335,-23.552803,133.948456,-12.918213,12.102262,39.052807,22.363337,6.745404,5.438103,650.904785,16.130011,-9.525858,1.142388,1.123963,0.623223,-0.012597,-0.022043,-0.000123,0.001208,0.00155,-2.889575,1.804156,2.196634,0.657378,1.14939,0.402035,518.517029,11.449244,-14.206625,-4.680767,0.109502,0.063746,0.052482,-0.000022,-0.000171,0.000001,0.000001,-0,-0.225729,0.538632,0.275699,0.003865,0.18777,0.00783,171.827026,Spot
36,26.835434,10.067299,8.322156,1.713831,0.588391,-0.4004,-4.199365,-10.011336,136.900925,-16.675625,11.348613,35.694134,25.7911,6.804469,5.43283,353.904755,16.108366,-10.727068,1.223766,1.10681,0.662509,-0.000481,-0.02735,-0.000709,0.003133,0.001649,-2.993084,1.81165,2.232449,0.765539,1.136864,0.434992,510.363647,11.403108,-15.432326,-4.705258,0.1095,0.057165,0.054383,0.000554,-0.000177,0,0.000001,-0,-0.221047,0.535793,0.272657,0.003829,0.186104,0.007609,173.526901,Spot
42,29.280485,10.350256,9.990714,0.165188,-0.098846,1.5582,1.442068,-23.255159,-51.624199,-20.506157,11.947914,38.794765,25.631777,7.041622,5.666842,991.238098,16.682251,-12.598234,1.244884,1.200131,0.886623,-0.006298,-0.0266,0.000139,0.001157,-0.000166,-3.331637,1.560133,1.953756,0.741086,1.171588,0.419939,720.454529,11.536923,-17.743561,-5.145328,0.112654,0.065443,0.059016,0.000408,-0.000185,0.000001,0.000001,-0,-0.237113,0.530314,0.269142,0.004006,0.186701,0.007947,171.142395,Spot
31,23.126526,7.332911,6.038786,5.99057,-0.486789,-0.00107,3.481915,14.401949,-98.245453,-7.284694,10.73632,40.547691,17.640965,6.733566,5.362236,105.476189,16.075554,-7.050972,1.060253,1.033036,0.508888,-0.010674,-0.011222,0.001096,-0.001332,-0.001261,-2.602177,1.800588,2.091214,0.584465,1.163881,0.385448,454.246216,11.603334,-11.523191,-4.472219,0.11259,0.063616,0.05797,0.000156,-0.000164,0.000001,0.000001,-0,-0.234176,0.529377,0.268656,0.003329,0.187403,0.007519,170.302826,Spot
31,22.707279,7.080707,6.407051,4.744857,2.694065,-0.916881,-5.487724,3.230224,-52.254639,-8.742901,9.946739,34.872257,19.166739,6.498529,5.261419,73.809525,15.559593,-7.147686,1.10103,1.010501,0.33808,0.05689,-0.019022,-0.01043,0.00254,0.009322,-2.449611,1.907856,2.236421,0.677602,1.111924,0.421159,411.267059,11.432055,-11.275225,-4.127539,0.109478,0.056821,0.048408,0.001214,-0.000157,-0.000001,0.000001,0,-0.214707,0.528998,0.266368,0.003651,0.183933,0.007408,173.789978,Spot
26,24.28491,7.26443,7.149703,4.595685,-0.521919,0.49885,3.278495,4.343026,-34.439735,-9.818446,10.987485,38.572891,21.074602,6.732396,5.457901,106.904762,16.091875,-8.193035,1.144718,1.069983,0.507606,0.000796,-0.016231,0.000747,0.000389,-0.001908,-2.722307,1.760767,1.996163,0.683151,1.146605,0.406849,456.257568,11.565989,-12.718922,-4.525887,0.113548,0.06398,0.053717,0.000859,-0.000167,0,0.000001,-0,-0.231244,0.522821,0.262271,0.003865,0.184358,0.007719,172.039581,Spot
24,19.728859,7.2312,4.602262,4.29978,-2.883142,0.178591,5.108188,3.254018,53.921062,-1.670843,9.011481,37.041466,13.465803,6.454093,5.141108,68.571426,15.578242,-4.150617,0.982066,0.917164,0.195806,-0.055313,-0.003813,0.01123,-0.001873,-0.010193,-2.095037,1.839999,2.014752,0.535375,1.141186,0.370557,334.568176,11.634126,-8.094733,-3.944117,0.114465,0.062786,0.052372,0.000374,-0.000151,0.000002,0.000001,-0,-0.229623,0.521156,0.261272,0.003329,0.185009,0.007283,171.061096,Spot
18,16.749554,5.950134,2.964538,2.562864,-0.447372,-1.287361,0.206338,25.713697,18.076099,0.422731,6.833807,29.030249,9.351548,5.924827,4.851626,28.619047,14.70818,-2.041373,0.861571,0.773739,0.141551,0.002978,0.000361,0.001141,-0.000415,-0.001471,-1.493759,1.849468,2.007416,0.493258,1.081342,0.366959,84.755684,11.539971,-5.209582,-3.168209,0.111629,0.059736,0.039533,0.001264,-0.000123,-0,0,-0,-0.210898,0.516279,0.25552,0.003423,0.181086,0.007178,171.690964,Spot
12,14.810095,5.68835,2.353271,1.03399,-2.019996,0.315186,-1.702392,-24.689371,58.580494,2.30109,4.993674,24.235296,6.255166,5.709873,4.548939,46.619049,14.393311,-0.416784,0.749777,0.680024,0.327023,-0.074244,0.004617,0.012006,-0.001243,-0.007282,-1.102778,1.736469,1.83365,0.401559,1.07917,0.331747,48.922348,11.610256,-3.199839,-2.783054,0.113691,0.058315,0.039045,0.000611,-0.000114,0.000003,0,-0,-0.211051,0.513866,0.253966,0.003074,0.181645,0.006814,171.527542,Spot
34,29.213039,11.718275,7.035932,4.629832,-0.32493,2.006662,1.562225,-14.901937,4.232469,-14.124375,11.583903,47.992832,28.950981,11.830873,11.087129,426.285706,18.794474,-10.418566,1.596043,1.236782,0.494957,-0.049362,-0.0142,-0.00224,0.000072,0.003367,-3.327782,2.319808,3.386031,1.513344,2.032918,1.316527,648.272705,12.498322,-16.714718,-6.296152,0.151613,0.131445,0.082543,-0.001305,-0.000188,0.000003,0.000001,-0,-0.365601,0.347239,0.127469,0.013849,0.122632,0.036481,230.819489,Spot
