@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute class {Spot,NotSpot}

@data
36,28.647032,9.628231,8.301532,5.249487,-23.179249,7.266904,14.590112,-14.05692,1.335793,1.107483,1.033325,-3.476602,0.647145,8.980659,-19.666374,-5.609453,0.133631,0.080371,0.063677,-0.277679,0.103573,7.575709,-21.071323,-7.014403,-1.40495,0.014913,0.004971,0.00319,-0.023074,0.013231,Spot
67,30.316486,11.771454,10.41166,7.912984,-30.096098,4.922527,14.602279,-15.714208,1.332178,1.127203,1.082816,-3.542198,0.6182,8.991678,-21.324808,-5.6106,0.133638,0.078634,0.064245,-0.276518,0.099543,7.586568,-22.729918,-7.01571,-1.40511,0.014919,0.004866,0.003372,-0.023157,0.010275,Spot
30,21.867432,6.570964,5.523289,1.277906,-10.816348,10.264323,13.526143,-8.341289,1.09986,0.919694,0.571519,-2.591074,1.484631,8.938454,-12.928978,-4.587689,0.130084,0.072809,0.05479,-0.257683,0.128977,7.59401,-14.273422,-5.932133,-1.344444,0.014905,0.004698,0.00343,-0.023033,0.007616,Spot
28,24.280102,8.473537,4.036803,1.056415,-13.566755,9.429532,14.145155,-10.134947,1.177667,1.002715,0.828007,-3.008389,1.15169,8.953632,-15.326469,-5.191523,0.133349,0.076579,0.063058,-0.272985,0.123684,7.572218,-16.707884,-6.572937,-1.381414,0.014838,0.004875,0.0031,-0.022813,0.013561,Spot
31,25.310139,9.151366,4.908166,3.084625,-17.144157,9.407315,14.106455,-11.203684,1.111146,1.024757,0.90145,-3.037353,1.225078,8.963942,-16.346197,-5.142513,0.133236,0.07462,0.063327,-0.271183,0.12084,7.582535,-17.727604,-6.52392,-1.381407,0.014844,0.004749,0.003297,-0.02289,0.011146,Spot
18,18.965008,5.636522,3.929794,3.261899,-4.968627,9.058307,13.0913,-5.873708,0.973857,0.842329,0.389426,-2.205612,1.655306,8.910829,-10.054179,-4.180471,0.129607,0.069513,0.053094,-0.252214,0.144664,7.589565,-11.375443,-5.501735,-1.321263,0.01483,0.004578,0.003352,-0.02276,0.009134,Spot
9,16.272942,4.739146,4.056934,1.752725,-1.070513,8.40522,12.626996,-3.645946,0.803112,0.734685,0.234068,-1.771865,1.807239,8.862822,-7.41012,-3.764174,0.128926,0.065117,0.052779,-0.246822,0.168036,7.573614,-8.699327,-5.053382,-1.289207,0.01474,0.004458,0.003152,-0.022351,0.013642,Spot
11,13.47208,4.682205,2.643397,1.036044,1.002765,6.232375,11.848103,-1.623978,0.713998,0.614295,0.093998,-1.234296,1.799044,8.816053,-4.656027,-3.032049,0.125527,0.064178,0.040279,-0.229984,0.177648,7.580344,-5.891736,-4.267758,-1.235709,0.014727,0.004304,0.003193,-0.022224,0.012258,Spot
7,13.660426,10.819883,3.375242,2.418235,5.026407,8.553084,13.805589,0.145163,1.237055,1.173267,1.13935,-1.270972,3.780899,9.602846,-4.05758,-4.202743,0.169178,0.134449,0.048563,-0.352189,0.547713,7.546801,-6.113625,-6.258788,-2.056045,0.015236,0.007586,0.005241,-0.028062,0.030755,Spot
13,15.333366,11.252473,5.136841,3.586317,2.529314,9.041095,14.238393,-1.094974,1.384424,1.22671,1.09536,-1.515774,3.853729,9.648004,-5.685363,-4.590389,0.168321,0.137465,0.060124,-0.36591,0.555411,7.542643,-7.790724,-6.69575,-2.105361,0.01515,0.007171,0.005802,-0.028123,0.03277,Spot
