@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spots,NotSpots}

@data
29,16.476515,5.760159,2.485115,1.596359,-0.518132,-0.588228,-0.358813,10.476576,84.46946,-6.648914,20.697531,10.76965,3.479626,3.114439,19.714285,191.904755,11.422829,-5.053686,0.883671,0.583337,0.348072,-0.01279,-0.010211,0.002555,0.000763,-0.002249,-1.815081,1.350947,0.415532,0.370599,0.329897,16.333334,139.854172,7.794803,-8.681711,-3.628026,0.111929,0.064747,0.054591,-0.00047,-0.000136,0.000001,0.000001,-0,-0.231268,0.018653,0.008295,0.037254,0.011177,11.346304,81.578827,Spots
7,8.221597,1.602206,0.881204,0.450001,0.088272,-0.042379,-0.569897,11.236901,-54.64349,0.271002,1.57514,0.517163,0.544325,0.282274,7.285714,6.571429,7.576022,-0.645575,0.168104,0.140791,0.049862,-0.006912,-0.001735,0.001275,-0.000065,-0.000028,-0.358757,0.19167,0.015903,0.148465,0.025835,8.121212,14.859848,6.778937,-1.44266,-0.797085,0.068386,0.015241,0.005921,0.000453,-0.000022,0,0,-0,-0.089548,0.004209,0.000957,0.017829,0.000972,7.470817,17.08606,Spots
7,8.375303,1.956937,0.864894,0.58918,-0.846417,0.025344,2.369483,8.728615,-18.98852,0.502863,2.057803,0.58332,0.540123,0.290574,7.142857,12.476191,7.738282,-0.637022,0.191782,0.165776,0.041991,-0.016507,-0.002554,0.002337,0.000077,-0.001254,-0.399549,0.150046,0.018245,0.146757,0.026451,8.545455,30.505682,6.805385,-1.569918,-0.932897,0.069744,0.018454,0.008603,0.00062,-0.000023,0,0,-0,-0.096801,0.004601,0.00078,0.018415,0.001159,7.688716,17.215223,Spots
12,10.035332,2.290779,1.412919,0.491822,0.050645,-0.120029,-1.720709,2.210773,88.84024,-3.211876,2.21282,1.034484,0.561785,0.309643,11.714286,36.238094,7.932434,-2.102898,0.221572,0.20921,0.167026,-0.006376,-0.004995,0.000258,0.001317,0.001566,-0.597808,0.152638,0.024393,0.151098,0.02672,10.181818,57.465908,6.805611,-3.229721,-1.126823,0.070425,0.018829,0.008854,0.000669,-0.000033,0,0,-0,-0.098108,0.004525,0.00056,0.01842,0.001023,7.809339,18.936163,Spots
20,10.286932,2.411753,2.185652,0.010992,0.699044,-0.52819,-1.03142,2.03691,-76.853073,-4.608397,1.747729,1.15656,0.56541,0.310369,12.857142,117.476189,7.93241,-2.354522,0.239997,0.205993,0.167816,0.008708,-0.004745,-0.001759,0.001338,0.002307,-0.613806,0.154189,0.027192,0.151854,0.025772,10.121212,45.109848,6.792961,-3.493971,-1.139449,0.070304,0.018191,0.008535,0.00065,-0.000037,-0,0,-0,-0.09703,0.004437,0.00063,0.018246,0.000925,7.894942,19.125639,Spots
9,8.839467,1.482758,1.04044,0.889516,0.289917,-0.13687,1.136231,-13.420426,-4.696682,-1.633682,1.587641,0.622562,0.550684,0.291709,11.428572,19.952381,7.72211,-1.117357,0.216218,0.160988,0.053189,0.018467,-0.001703,-0.00198,0.000033,-0.000084,-0.430395,0.156443,0.024234,0.148717,0.023664,8.727273,33.392044,6.768931,-2.070536,-0.953178,0.069434,0.01666,0.00761,0.000557,-0.000033,-0,0,0,-0.093704,0.004307,0.000981,0.017908,0.000893,7.754864,19.256081,Spots
8,9.114337,1.676983,1.5044,1.248581,-0.101522,0.818953,2.090353,-16.014105,-91.842262,-1.075998,2.235419,0.738303,0.542253,0.306597,9.714286,24.904762,7.887947,-1.22639,0.235334,0.199144,0.038404,-0.005156,-0.003422,0.000078,0.00003,0.000024,-0.472882,0.110046,0.026751,0.147039,0.026325,9.939394,52.683712,6.821661,-2.292676,-1.066286,0.071288,0.021943,0.009195,0.000803,-0.000028,-0,0,-0,-0.102427,0.00498,0.000438,0.018992,0.001174,7.844358,18.772556,Spots
20,11.190638,2.895746,2.19494,1.575259,-0.031968,-0.343611,0.920827,-9.566768,-62.30164,-6.665946,2.389278,1.177971,0.561633,0.325703,16.571428,120.952377,8.093957,-3.096681,0.27026,0.237121,0.194981,-0.001651,-0.006344,-0.000918,0.001119,0.001704,-0.702363,0.111971,0.033839,0.150806,0.027068,10.575758,60.251892,6.816903,-4.373734,-1.277054,0.071902,0.021568,0.009498,0.000835,-0.000039,-0,0,-0,-0.102967,0.004897,0.000375,0.018987,0.001089,7.906615,19.397495,Spots
34,11.308723,3.443788,2.544845,1.352374,0.331026,-1.651816,-3.122152,27.863201,166.925949,-7.341006,1.694095,1.4117,0.562171,0.324765,15.857142,90.809525,8.093543,-3.21518,0.272399,0.256745,0.203758,0.003524,-0.005899,-0.001041,0.001052,0.001453,-0.732902,0.117054,0.035433,0.150899,0.02656,10.333333,55.354168,6.799702,-4.509021,-1.293841,0.071716,0.020215,0.0091,0.000788,-0.000043,-0,0,-0,-0.101031,0.004789,0.000622,0.018801,0.001025,7.910506,19.472427,Spots
11,9.413975,1.930278,0.930267,0.634301,0.059779,0.200138,2.324272,-2.054814,-123.478416,-2.226244,1.61125,0.821226,0.543937,0.303751,10.857142,112.476189,7.859504,-1.554471,0.244356,0.198093,0.090788,0.006307,-0.002158,-0.000015,-0.000193,-0.000836,-0.533238,0.130412,0.032047,0.147041,0.024791,9.333333,35.729168,6.771883,-2.642091,-1.087621,0.070768,0.01819,0.007875,0.000665,-0.000038,-0,0,0,-0.096833,0.004643,0.001035,0.018446,0.000995,7.848249,19.01985,Spots
