@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_middle_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_middle_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_middle_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_middle_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_middle_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_middle_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_middle_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_middle_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,Notspot}

@data
528,522.150696,8.95364,3.667212,2.855082,0.172273,-0.877735,-0.26417,1.088404,34.704704,-8.14151,8.850349,106.383003,31.462271,8.049817,150.209564,33.20256,14.731538,517,535,525.571411,525,38.619049,512.623779,-9.526917,4.673343,1.804973,0.757145,0.082456,-0.01308,-0.003558,0.005285,0.002158,-5.72117,8.616548,84.248024,7.235182,0.635636,90.852173,14.428671,4.065538,496,544,522.575745,523,102.064392,491.114258,-31.036438,-21.509521,1.292948,0.726819,0.3791,0.013975,-0.000555,-0.000001,0.000001,0,-2.398867,7.4977,55.734882,0.926709,0.131928,48.999683,5.215682,0.867211,448,589,514.984436,517,497.554443,464.073334,-58.077362,-48.550446,-27.040924,0.396359,0.145032,0.111612,0.001215,-0.000013,-0,0,-0,-0.653003,4.510214,20.034225,0.149583,0.018993,17.907032,1.168968,0.148658,414,618,492.023712,503,1301.342896,Spot
517,514.175781,9.314537,4.235859,2.030167,1.359197,0.056775,-0.556702,1.037587,-46.863941,-7.108845,15.004706,232.128769,21.228128,7.703114,180.908722,29.941994,13.609905,496,529,516.428589,517,128.285721,504.872284,-9.303497,4.641229,1.636899,0.7868,0.281321,0.001532,-0.008239,-0.002124,0.003031,-5.491328,12.153387,146.35997,5.371108,0.610216,110.63308,12.738755,3.797907,472,541,514.909119,517,252.08522,484.886047,-29.289734,-19.986237,1.165738,0.635668,0.396501,0.019984,-0.000494,-0.000015,0,0,-2.197907,8.41191,68.666077,0.809842,0.143044,55.08601,4.740153,0.895669,436,589,506.723724,512,819.880432,460.382446,-53.793335,-44.489838,-24.503601,0.381706,0.144749,0.068193,0.000908,-0.000013,-0,0,0,-0.594649,4.586465,20.689449,0.138675,0.018951,18.32959,1.093307,0.147364,410,618,485.678528,497,1559.15271,Spot
524,523.580566,8.164581,7.524595,6.271791,-0.469391,0.368267,-2.189221,2.949715,25.523146,-6.911776,23.734922,259.031586,55.690369,42.225533,113.482422,59.044674,42.653214,500,559,524.714294,520,529.238098,509.975037,-13.60553,3.776756,3.209255,1.231601,-0.168592,-0.007379,0.005094,-0.002109,0.001666,-8.217611,8.751554,67.639816,10.454452,7.231385,65.556114,21.632277,10.602077,494,602,524.727295,515,827.892029,485.574646,-38.00592,-24.400391,1.031343,0.626805,0.53983,-0.007142,-0.000599,0.00001,0.000001,-0,-2.197977,7.068157,49.350201,0.875768,0.297303,43.39563,4.650422,1.233709,467,618,513,503,747.679688,462.119995,-61.460571,-47.855042,-23.454651,0.360126,0.163287,0.091015,0.000522,-0.000009,0,0,-0,-0.614429,4.541501,20.362974,0.12246,0.023984,18.583961,0.96193,0.187636,424,618,484.815063,490,1119.869019,Spot
552,538.713806,16.590828,9.320498,2.747958,-1.723696,0.551595,0.406125,-3.060075,4.935664,-28.659283,24.746822,256.003448,152.034653,54.925541,143.276978,57.776611,47.506683,514,602,549.428589,543,849.952393,511.45694,-27.256866,5.581179,3.655807,2.331026,-0.165166,-0.035599,0.012303,-0.00042,-0.003861,-11.568011,9.16234,82.383965,17.156334,9.043857,76.761604,23.261944,11.617529,499,618,541.878784,537,1103.484863,482.456543,-56.257263,-29.000397,1.151151,0.651012,0.500065,-0.002724,-0.000767,0.000008,0.000002,-0,-2.302228,7.46779,54.677303,1.04415,0.336266,46.281364,5.010486,1.328712,458,618,512.832703,504,876.491455,459.398529,-79.315277,-52.058411,-23.058014,0.360342,0.163976,0.060933,0.000557,-0.000009,0,0,-0,-0.585251,4.567826,20.58078,0.123048,0.024318,18.660692,0.967509,0.188589,419,618,481.172119,486,1247.011597,Spot
568,539.846252,25.999767,8.566212,4.153893,-2.065609,-0.05503,3.275059,-5.786157,-2.509133,-38.719872,24.320498,362.026764,186.267914,44.243336,172.093033,53.46986,47.171719,523,618,557.571411,552,960.285706,507.863861,-31.982391,6.420054,3.570279,2.434199,-0.090206,-0.046699,0.012315,0.001785,-0.006556,-12.424532,11.622796,128.232925,16.719028,8.700246,90.522583,22.111162,11.784167,489,618,542.69696,540,1137.655273,478.233459,-61.612793,-29.630402,1.18519,0.658216,0.405367,0.002306,-0.000824,0.000002,0.000002,-0,-2.248773,7.944174,61.204533,1.078125,0.348826,49.329296,5.030042,1.366846,444,618,508.754852,502,1192.842041,456.455872,-83.390381,-51.40799,-21.777588,0.356291,0.163331,0.027472,0.00057,-0.000008,-0,0,-0,-0.547095,4.580225,20.676325,0.120599,0.024188,18.642836,0.952688,0.186565,414,618,476.802765,479,1384.203003,Spot
531,520.819153,19.728529,4.292131,2.588109,-0.300689,-0.547285,0.306212,5.317077,-54.344749,-21.43255,31.533573,594.899231,112.454918,22.521175,193.854568,48.310944,40.768452,489,568,527.857117,531,668.809509,498.490112,-22.329041,5.541587,2.878306,1.649334,0.04548,-0.032201,0.002528,0.002278,-0.001762,-10.069228,15.159541,192.906296,12.648755,6.309141,103.747253,19.219257,11.045422,464,618,523.121216,517,1414.172363,472.920563,-47.89859,-25.56955,1.131863,0.638444,0.255321,0.007112,-0.000753,-0.000005,0.000002,0,-2.025628,8.413311,67.855637,0.988259,0.332465,52.067917,4.742746,1.34326,434,618,500.268494,497,1605.822144,453.322052,-67.497101,-45.16806,-19.598511,0.348352,0.161201,0.008714,0.000561,-0.000008,-0,0,0,-0.500839,4.573242,20.601328,0.115492,0.023589,18.497755,0.919819,0.181587,411,618,471.735413,470,1518.478394,Spot
559,537.17395,13.18073,10.632958,1.0514,-0.80589,-0.209099,-0.644652,4.80393,10.947834,-24.865089,24.464481,254.2836,91.392174,62.038654,124.078949,61.244915,43.405205,511,602,548.714294,544,858.571411,513.58905,-23.5849,4.577422,3.602312,2.253056,-0.138257,-0.037352,0.005652,0.002583,-0.000453,-10.432789,8.171178,63.677032,13.711129,8.718799,67.224594,22.94277,10.899161,500,618,538.727295,542,989.517029,486.198822,-50.975128,-27.390228,1.068872,0.658777,0.578426,-0.004473,-0.00069,0.00001,0.000002,-0,-2.306076,7.062918,49.34639,0.932141,0.327265,43.548378,4.851026,1.286953,469,618,515.334656,507,752.973511,462.206787,-74.967163,-51.382263,-23.992035,0.362903,0.158615,0.092963,0.000871,-0.00001,0,0,-0,-0.614481,4.548488,20.426743,0.1244,0.022592,18.648476,0.975742,0.175852,422,618,485.345184,491,1125.834351,Spot
602,555.79248,24.790943,18.197681,12.31572,-1.457025,-1.951526,1.819388,2.264774,-8.019497,-55.304344,15.992183,258.202728,142.97438,108.738426,156.438858,59.695972,48.461681,552,618,582.571411,581,554.285706,515.334412,-40.458069,6.50078,4.58178,3.067418,-0.094578,-0.079938,0.008829,0.011085,-0.003524,-14.149978,8.179201,78.654396,19.814106,11.948239,79.391953,24.33923,11.986882,511,618,558.606079,556,750.746216,483.038605,-72.753876,-32.295807,1.190219,0.685263,0.533771,-0.000206,-0.00086,0.000005,0.000003,-0,-2.409253,7.486102,54.98753,1.104685,0.36706,46.578533,5.202228,1.384222,450,618,515.299622,510,899.179443,459.466705,-96.325775,-55.867706,-23.571899,0.362838,0.159573,0.062539,0.000842,-0.00001,-0,0,-0,-0.584951,4.576057,20.655668,0.124791,0.022989,18.732677,0.979917,0.177353,417,618,481.61972,487,1257.78894,Spot
618,554.667297,32.573818,17.703321,11.377884,-0.857938,-2.534069,1.208258,1.838688,-62.00771,-61.655022,20.202551,479.40451,139.645157,73.713158,187.206177,54.34753,48.900372,540,618,587.285706,599,743.571411,511.342804,-43.324493,7.079425,4.609338,3.028671,0.009189,-0.082177,0.005412,0.010285,-0.00308,-14.717434,11.511792,135.206253,15.661592,12.343218,94.178589,22.821667,12.2103,485,618,556.787903,559,1012.984863,478.739746,-75.927551,-32.603058,1.218453,0.691513,0.436215,0.00453,-0.000901,-0.000003,0.000003,0,-2.346181,7.992867,61.945187,1.127666,0.379369,49.789391,5.191738,1.422618,440,618,510.821014,510,1249.772583,456.505249,-98.162048,-54.837555,-22.234497,0.358477,0.159171,0.028726,0.000779,-0.000009,-0,0,-0,-0.546373,4.58949,20.760309,0.122105,0.022928,18.720587,0.963499,0.175941,412,618,477.175446,480,1400.471069,Spot
540,528.508911,17.890484,5.663611,5.019216,0.596941,0.371987,-2.269341,-3.647395,98.564445,-28.573311,38.096596,782.438782,94.047958,31.972839,209.970596,48.011009,43.166313,485,618,539.857117,531,1853.142822,500.957581,-27.551331,5.411044,3.786665,2.29667,0.141771,-0.040781,-0.003166,0.000127,0.000837,-11.494379,16.051058,213.367401,10.371863,9.242499,108.239601,19.531929,11.523771,457,618,531.30304,529,2030.905273,473.321075,-55.187836,-27.636505,1.153228,0.669646,0.282133,0.008915,-0.000796,-0.000011,0.000002,0,-2.105007,8.492482,69.06118,1.018531,0.361032,52.681812,4.863258,1.396647,432,618,502.035034,501,1745.627686,453.352692,-75.156219,-47.604889,-19.968384,0.350209,0.157251,0.007818,0.000687,-0.000009,-0,0,0,-0.499643,4.583266,20.691641,0.116744,0.022403,18.579138,0.928947,0.171623,411,618,472.026093,470,1539.387817,Spot
