# Tr2d export from 2017-01-18 12:04:22
# tracklet_id, parent_tracklet_id, child_tracklat_id1, child_tracklat_id2, (time, object_id)...
  0, -1, -1, -1  ,  0,  0 ,  1, 10 ,  2,  3 ,  3,  8 ,  4,  3
  1, -1, -1, -1  ,  0,  1 ,  1,  3 ,  2, 15 ,  3,  1
  2, -1, -1, -1  ,  0,  2 ,  1, 21 ,  2,  9 ,  3, 19 ,  4,  0 ,  5, 11 ,  6, 36 ,  7, 29
  3, -1,  4,  5  ,  0,  3 ,  1, 18 ,  2, 17 ,  3, 14 ,  4, 20 ,  5, 16
  4,  3, -1, -1  ,  6, 18 ,  7, 10
  5,  3, -1, -1  ,  6,  7 ,  7, 11
  6, -1,  7,  8  ,  0,  4 ,  1, 20 ,  2,  4 ,  3,  7 ,  4, 19 ,  5, 14
  7,  6, -1, -1  ,  6, 31 ,  7, 28
  8,  6, -1, -1  ,  6, 25 ,  7, 24
  9, -1, 10, 11  ,  0,  5 ,  1, 19 ,  2,  1 ,  3,  3 ,  4,  2 ,  5,  6
 10,  9, -1, -1  ,  6, 33 ,  7, 14
 11,  9, -1, -1  ,  6, 24 ,  7,  7
 12, -1, 13, 14  ,  0,  6 ,  1,  2 ,  2, 11 ,  3, 15 ,  4,  6 ,  5,  2
 13, 12, -1, -1  ,  6, 13 ,  7, 25
 14, 12, -1, -1  ,  6, 11 ,  7, 15
 15, -1, -1, -1  ,  0,  7 ,  1, 11 ,  2, 19 ,  3,  5 ,  4,  4 ,  5, 17 ,  6,  5 ,  7, 35
 16, -1, 17, 18  ,  0,  8 ,  1, 14 ,  2, 18 ,  3, 17 ,  4, 13 ,  5, 19
 17, 16, -1, -1  ,  6,  3 ,  7, 16
 18, 16, -1, -1  ,  6, 23 ,  7, 17
 19, -1, 20, 21  ,  0,  9 ,  1, 12 ,  2, 21 ,  3, 11 ,  4,  7 ,  5,  3
 20, 19, -1, -1  ,  6,  6 ,  7, 38
 21, 19, -1, -1  ,  6, 32 ,  7, 37
 22, -1, 23, 24  ,  0, 10 ,  1,  0 ,  2,  6 ,  3, 16 ,  4, 15 ,  5,  7
 23, 22, -1, -1  ,  6, 28 ,  7, 30
 24, 22, -1, -1  ,  6,  4 ,  7, 12
 25, -1, -1, -1  ,  0, 11 ,  1,  5 ,  2, 12 ,  3, 21 ,  4, 10 ,  5, 12 ,  6, 20 ,  7,  5
 26, -1, -1, -1  ,  0, 12 ,  1,  6 ,  2,  7 ,  3, 12 ,  4, 17 ,  5, 18
 27, -1, 28, 29  ,  0, 13 ,  1,  8 ,  2, 13 ,  3, 10 ,  4,  8 ,  5,  0
 28, 27, -1, -1  ,  6, 26 ,  7,  2
 29, 27, -1, -1  ,  6,  2 ,  7, 26
 30, -1, 31, 32  ,  0, 14 ,  1,  7 ,  2, 20 ,  3, 13 ,  4, 18 ,  5, 15
 31, 30, -1, -1  ,  6, 29 ,  7, 32
 32, 30, -1, -1  ,  6, 12 ,  7, 36
 33, -1, 34, 35  ,  0, 15 ,  1, 17 ,  2,  5 ,  3, 20 ,  4, 16 ,  5,  1
 34, 33, -1, -1  ,  6, 27 ,  7, 27
 35, 33, -1, -1  ,  6,  8 ,  7,  1
 36, -1, -1, -1  ,  0, 16 ,  1, 16 ,  2, 16 ,  3,  4 ,  4, 12 ,  5, 10 ,  6, 16 ,  7, 33
 37, -1, -1, -1  ,  0, 17 ,  1,  9 ,  2,  0 ,  3,  6 ,  4,  9 ,  5,  8 ,  6, 35 ,  7, 20
 38, -1, 39, 40  ,  0, 18 ,  1, 13 ,  2,  8 ,  3,  0 ,  4, 11 ,  5,  9
 39, 38, -1, -1  ,  6,  0 ,  7, 13
 40, 38, -1, -1  ,  6,  1 ,  7,  8
 41, -1, 42, 43  ,  0, 19 ,  1,  1 ,  2,  2 ,  3,  2 ,  4,  5 ,  5, 13
 42, 41, -1, -1  ,  6, 10 ,  7,  4
 43, 41, -1, -1  ,  6, 17 ,  7,  0
 44, -1, -1, -1  ,  0, 20 ,  1, 15 ,  2, 14 ,  3, 18 ,  4,  1 ,  5,  5 ,  6,  9 ,  7, 34
 45, -1, -1, -1  ,  0, 21 ,  1,  4 ,  2, 10 ,  3,  9 ,  4, 14 ,  5,  4 ,  6, 21 ,  7,  3
 46, -1, -1, -1  ,  6, 14 ,  7, 23
 47, -1, -1, -1  ,  6, 15 ,  7, 21
 48, -1, -1, -1  ,  6, 19 ,  7, 31
 49, -1, -1, -1  ,  6, 22 ,  7, 19
 50, -1, -1, -1  ,  6, 30 ,  7, 22
 51, -1, -1, -1  ,  6, 34 ,  7,  9
 52, -1, -1, -1  ,  7,  6
 53, -1, -1, -1  ,  7, 18
