# Tr2d export from 2017-01-18 12:04:22
# t, id, area, com_x, com_y, angle, r1, r2
  3, 19,490,181.7633,235.9327,  0.0880, 18.1352,  9.4395
  3, 20,607,465.0115,204.7809,  0.4983, 20.0862, 10.3971
  3, 21,696,494.9440, 48.7270,  1.2856, 16.6152, 14.4922
  4,  0,596,185.2970,238.0084,  0.0218, 19.6806, 11.1882
  4,  1,370,267.3243,247.3973, -0.2095, 14.5235,  9.1197
  4,  2,641, 37.8300, 23.1700,  1.0924, 19.4760, 12.3146
  4,  3, 34,  3.4118, 67.2353, -0.3462,  3.9164,  2.9695
  4,  4,612,404.2843,226.0294,  0.0096, 17.8836, 12.9203
  4,  5,612,307.8889,161.5180,  0.7506, 17.9179, 11.1810
  4,  6,729, 47.7901,211.9342, -0.6413, 20.6743, 15.8511
  4,  7,678,254.8569, 36.7375,  2.1174, 18.2328, 13.9463
  4,  8,619,337.3522, 69.8966,  0.1118, 19.0794, 11.7273
  4,  9, 97,428.9897,  1.9794,  0.0315, 10.9987,  3.2264
  4, 10,711,494.3207, 47.4037,  1.4255, 16.7919, 15.0461
  4, 11,598,399.4130,126.6722,  0.5334, 18.6986, 12.6529
  4, 12,689,150.4224, 78.5385,  0.3458, 19.1878, 14.9161
  4, 13,720,217.1875,181.9667,  1.8513, 19.8588, 16.3491
  4, 14,636,342.9230,222.8553,  2.2194, 19.9516, 14.3241
  4, 15,604,227.8146,105.1258, -0.2332, 19.3629, 11.5284
  4, 16,590,471.8729,205.3847,  0.3285, 18.6398, 11.8428
  4, 17,143,166.5175,  3.4406,  0.0785, 10.0286,  5.0718
  4, 18,668, 38.9027,118.3548, -0.1512, 17.7667, 15.8316
  4, 19,613,134.7390,156.3458,  1.1811, 18.7675, 12.9098
  4, 20,607,479.7578,119.0890, -0.4486, 18.0785, 12.3138
  5,  0,908,339.5980, 69.8216,  2.0955, 21.1330, 12.7026
  5,  1,909,474.5545,205.1837,  1.8621, 21.4445, 14.2813
  5,  2,912, 45.7445,213.0121,  0.1261, 22.9893, 12.1098
  5,  3,802,261.4065, 32.4277,  0.7450, 24.0766,  9.8726
  5,  4,800,342.2700,224.6825,  1.2706, 18.0706, 13.8189
  5,  5,382,265.7304,247.5105, -0.3355, 14.4441,  8.9513
  5,  6,931, 40.8067, 21.7895, -0.5290, 24.8009, 11.9290
  5,  7,959,226.9197,103.4776,  1.3212, 22.1369, 13.7231
  5,  8,138,420.1812,  3.2319, -0.1337, 10.2879,  4.6820
  5,  9,918,397.1983,120.5392,  1.7040, 19.9071, 14.4180
  5, 10,892,146.0392, 77.1738, -0.5060, 26.9303, 11.8481
  5, 11,817,184.0502,233.9559,  0.8740, 21.5612, 11.9650
  5, 12,705,493.2539, 43.1433,  0.4356, 18.8510, 11.7721
  5, 13,844,307.4716,160.4301, -0.3898, 22.6425, 12.1522
